[00:00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:00:30] 谈了Physical Intelligence派的研究科学家科里一鸣
[00:00:34] 这是一家在硅谷做机器人大脑的备受瞩目的实验室
[00:22:49] 然后数字世界就打字
[00:22:51] 对这个可能
[00:22:52] 我个人感觉现在还没有到
[00:22:55] 就是我们还没在这个地方看到明显的
[00:22:59] 直接应用大语言模型的一个短板
[00:23:01] 就是感觉用起来还比较OK
[00:23:04] 对但是在视觉上
[00:23:06] 不管是理解还是生成
[00:23:08] 我们其实会感觉数字世界的开发的
[00:23:12] 本来的就是motivation和物理世界的需求
[00:23:15] 其实没有那么匹配的
[00:23:17] 对这是可能26年做的一个比较大的决定
[00:23:20] 25年可能还做了一件事情
[00:23:23] 我觉得也是一个比较大的决定
[00:23:25] 可能就第一大决定是我们
[00:23:27] 就是觉得要做视频上的建模
[00:23:29] 其实我觉得另一方面还有一个比较大的决定
[00:23:32] 就是我们那个时候是非常坚定的
[00:23:35] 要从传感器出发
[00:23:37] 就真实的传感器出发
[00:23:39] 去解决物理世界的问题的
[00:23:41] 因为这个事情是跟我24年底刚来灵波的时候
[00:23:45] 我不是说那个时候就太天真了
[00:23:48] 觉得这个事情往机器人上迁移很简单
[00:23:51] 然后那个时候其实我们
[00:23:52] 我们的视频上的建模
[00:23:53] 是最开始来的时候就尝试着
[00:23:55] 用很多数字世界的算法
[00:23:58] 或者说之前开发过的
[00:23:59] 计算机视觉领域的一些模型
[00:24:00] 直接在机器人里用
[00:24:02] 然后用的时候才发现
[00:24:04] 落地跟之前的想象完全不一样
[00:24:07] 因为在之前我做research做的比较多
[00:24:11] 然后其实学术界有一个不太好的一个
[00:24:14] 也不能叫不太好吧
[00:24:15] 或者说大家有一个心照不宣的一个点
[00:24:17] 就是数据集都是比较干净的
[00:24:20] 就是相当于你很少能从数据集里面
[00:24:22] 看到那种比较噪声比较大的一个东西
[00:24:25] 但是在实际上应用起来的时候
[00:24:29] 因为机器人毕竟要在现实世界中跑
[00:24:30] 就会发现传感器的噪声
[00:24:33] 其实是完全没有办法忽略的
[00:24:35] 对这个东西跟你能拿到很干净的数据
[00:24:38] 是天然就是相悖的
[00:24:40] 所以说基于这个考虑
[00:24:42] 我们25年也是坚持要
[00:24:45] 就是说我们可能就要从
[00:24:46] 传感器的维度开始做起
[00:24:49] 对传感器的维度就包括视觉
[00:24:52] 可能也包括触觉
[00:24:54] 对可能是这是整个零波
[00:24:58] 现在整个就是整个技术思路吧
[00:25:02] 两个比较大的技术主张
[00:25:05] 一个主张就是我们可能要从
[00:25:07] 就是传感器开始做
[00:25:09] 然后我们会更多的
[00:25:11] 或者说大家现在更好理解
[00:25:13] 就叫所谓的空间智能
[00:25:14] 对然后另一个比较大的主张就是
[00:25:17] 可能我们要坚持从视频里学
[00:25:20] 而且要
[00:25:22] 可能就是为这个数字世界
[00:25:25] 就是为物理世界原生的这个方式
[00:25:27] 重头学
[00:25:28] 对可能是这两个是
[00:25:30] 我觉得比较大的主张
[00:25:32] 你们在25年9月是外探大会
[00:25:33] 还有过一个炒菜的demo
[00:25:35] 这个demo跟你们当时的
[00:25:37] 那条技术路线有关系吗
[00:25:38] 那个其实炒菜是一个
[00:25:39] 比较长程的任务了
[00:25:40] 对然后当时是
[00:25:43] 尝试着去做了一下
[00:25:45] 发现了很多软硬件上的问题
[00:25:47] 然后这也就促升了
[00:25:50] 我们更加更加坚定了
[00:25:52] 说我们一定要把大脑这个事情做实
[00:25:56] 因为如果没有一个
[00:25:57] 比较好用的大脑的话
[00:25:58] 其实比如说
[00:26:00] 这上一次是炒菜对吧
[00:26:03] 然后如果我们想再拓展一个场景
[00:26:05] 复制的成本实在是太高了
[00:26:07] 对所以说可能有了那一次之后
[00:26:11] 我们更加坚定的说
[00:26:12] 我们要把大脑这个事情做好
[00:26:14] 其实我觉得有两类公司
[00:26:15] 有两类思路
[00:26:16] 一个是我就要软硬一体化
[00:26:19] 然后一起协同往前走
[00:26:20] 一个是我就彻底不做硬件了
[00:26:22] 然后第二条路
[00:26:25] 为什么没有选第一条呢
[00:26:26] 我们的初心就是做一个通用的脑子
[00:26:28] 所谓通用是因为我们有一个判断
[00:26:31] 是说这个行业需要的机器人
[00:26:34] 或者说他未来是可能进家庭
[00:26:35] 但中间可能还有一些
[00:26:36] 突避的这个阶段
[00:26:37] 我们是觉得你很难说
[00:26:41] 有一款机器人
[00:26:43] 真的适合所有的任务
[00:26:44] 或者说你哪怕到了进家庭
[00:26:47] 然后你可能每个家
[00:26:48] 对这个机器人也有不同的需求
[00:26:50] 对吧
[00:26:51] 可能从任务角度出发
[00:26:52] 他就不是一个
[00:26:54] 就是可能一个通用的本体
[00:26:57] 就所有的事情全都解决的一个场景
[00:27:00] 我觉得这个事情本身
[00:27:02] 可能短期内是不太会实现的
[00:27:04] 对
[00:27:04] 所以说在这个方面
[00:27:06] 我们就还是说
[00:27:08] 既然我们的主业是做大脑
[00:27:09] 那我们就从大脑出发开始做
[00:27:12] 刚好我们其实也有一直
[00:27:14] 讲了一个技术主张
[00:27:15] 就是我们的大脑从最开始定义
[00:27:17] 就是希望它跨本体
[00:27:18] 就是说希望它通用
[00:27:19] 这也是为什么我们在训练过程中
[00:27:22] 可能就加入了不同的本体的数据
[00:27:25] 我们希望我们的大脑
[00:27:27] 在预训练的过程中
[00:27:28] 就经历过这些本体
[00:27:30] 了解它们的特性
[00:27:31] 那么在后面
[00:27:32] 可能说真的在某一个场景落地的时候
[00:27:34] 就可以快速地适应那个本体
[00:27:36] 对这也是我们
[00:27:37] 就是我们就是选择这条技术路线
[00:27:40] 也是跟当时
[00:27:42] 可能跟公司整体的一个最大的战略规划
[00:27:45] 就是说我们要做通用大脑
[00:27:46] 这个事情是符合的吧
[00:27:47] 通用就意味着是跨本体
[00:27:49] 通用除了跨本体之外
[00:27:51] 当然还可能是通用大脑之外
[00:27:52] 通用除了跨本体之外
[00:27:52] 它还有跨任务跨场景
[00:27:53] 这些也是通用的一部分
[00:27:55] 但是有些时候
[00:27:58] 我还是比较坚持说
[00:28:00] 可能本体跟场景是
[00:28:02] 没办法完全解偶的
[00:28:05] 就是什么样的本体
[00:28:07] 适合什么样的场景
[00:28:08] 可能从这个本体
[00:28:08] 从产品定义最开始
[00:28:10] 就已经决定了
[00:28:11] 有些事情适合它做
[00:28:13] 有些事情不适合它做
[00:28:14] 大家现在可能讲的通用
[00:28:16] 更多是会停留在任务和场景这个方面
[00:28:19] 但我们就是把这个
[00:28:21] 硬件这个东西也考虑进去
[00:28:23] 我们觉得通用应该就是多一层
[00:28:25] 就是你本体上也要通用
[00:28:27] 你们26年
[00:28:28] 因为之前已经开源过四个模型
[00:28:31] 那是你们第一代大脑
[00:28:32] 然后现在又要开源第二代的大脑
[00:28:36] 这次应该有六个模型
[00:28:37] 对 这次是有六个模型
[00:28:40] 在这两代探索上
[00:28:41] 你们发生了什么样的变化
[00:28:42] 第一代做了哪些事情
[00:28:44] 第二代做了哪些事情
[00:28:44] 其实从我刚刚说的
[00:28:46] 就是25年跟26年
[00:28:47] 两个比较大的决定
[00:28:48] 其实是比较相关的
[00:28:50] 25年的时候
[00:28:51] 我们当时是在
[00:28:51] 当时两个决定
[00:28:52] 一个是一定要从视频开始学
[00:28:54] 一个就是要做空间智能
[00:28:57] 就是说从传感器开始学
[00:28:58] 然后这也是为什么
[00:28:59] 就是从25年
[00:29:01] 我们25年做的
[00:29:02] 或者说就是今年1月份
[00:29:03] 开源的那四个模型
[00:29:04] 第一个就是深度
[00:29:06] 深度其实就是从传感器开始
[00:29:08] 就是希望机器人
[00:29:11] 对空间有更好的认知
[00:29:12] 对距离有更好的认知
[00:29:14] 这是一个
[00:29:15] 从视频开始学
[00:29:17] 其实就催生了视频动作模型
[00:29:18] 还有一个世界模型
[00:29:21] 对
[00:29:21] 就是说白了
[00:29:22] 就是一个能让它当防震器
[00:29:25] 然后另一个是能让它当执行器
[00:29:27] 你可以大概这么去理解
[00:29:29] 对
[00:29:30] 然后这是三个模型
[00:29:32] 然后再有一个就是VLA
[00:29:33] VLA就是这个行业最主流的
[00:29:35] 然后能够真的说在场景里面
[00:29:38] 去把活干好的
[00:29:40] 这么一个一条技术路线
[00:29:42] 对
[00:29:42] 所以说去年
[00:29:43] 今年年初开源的那四个模型
[00:29:45] 就是这么个选择
[00:29:47] 这个模型训练多久
[00:29:48] 不同模型
[00:29:49] 这个开发周期不一样
[00:29:50] 像我说的
[00:29:51] 可能时间就是开发的最长的
[00:29:53] 可能就是视频动作模型
[00:29:55] 那个基本上是经历了大半年的时间
[00:29:58] 才最终把所有的时间都摸清楚
[00:30:00] 像深度这个
[00:30:01] 因为我们之前做
[00:30:02] 就是在视觉上
[00:30:03] 其实本来就有一定的积累
[00:30:05] 所以说可能在那个方面
[00:30:07] 就是大概三个月
[00:30:09] 三四个月的样子
[00:30:10] 对
[00:30:10] 就是每个模型
[00:30:11] 其实周期不太一样
[00:30:12] 这一代大脑能用到哪些场景本体
[00:30:17] 它能做什么
[00:30:17] 第一代大脑
[00:30:18] 当时我们应该是支持了九种构型
[00:30:21] 对
[00:30:21] 然后那个时候应该是做一些简单的
[00:30:24] 这个抓取任务吧
[00:30:26] 对
[00:30:26] 然后行业那个时候做的比较多的
[00:30:28] 也都是这个方面的动作
[00:30:31] 对
[00:30:31] 然后一些抓取上可能解决的比较好
[00:30:34] 我们在通过跟行业去交流
[00:30:36] 去接触落地的过程中
[00:30:38] 然后催生了这一代模型的一个
[00:30:41] 比较根本的一个变化
[00:30:43] 就是我们在真的想把VLA落地的
[00:30:47] 这个过程中
[00:30:47] 我们会发现
[00:30:49] 有一个点
[00:30:50] 其实大家之前都没有太关注过
[00:30:53] 就是之前大家做的很多demo也好
[00:30:56] 还是基本上都是实验室环境
[00:30:58] 对吧
[00:30:59] 实验室环境也就是说
[00:31:00] 可能所有的操作是在桌面上做的
[00:31:02] 但是我们这次试着想把它
[00:31:03] 在这个实际场景中落地的时候
[00:31:05] 会发现机器人做很多动作
[00:31:07] 其实不是在固定高度做的
[00:31:09] 它可能需要
[00:31:10] 比如说你去架子上拿个东西
[00:31:11] 它需要抬手的
[00:31:13] 抬手的时候
[00:31:14] 这个时候就会
[00:31:15] 就是明显的突出一个
[00:31:19] 说实验室环境
[00:31:20] 实际场景跟真实落地场景一个gap
[00:31:22] 就是比如说头到底应不应该看
[00:31:25] 就是头到底要不要看到你手抬的那个地方
[00:31:28] 然后视角会不一样
[00:31:31] 而且甚至于有可能头即使抬了也看不到
[00:31:34] 对吧
[00:31:34] 然后抬起手来
[00:31:35] 就是这里面就是说
[00:31:37] 你的模型到底能不能控制抬头
[00:31:40] 以及说在头部相机失效的时候
[00:31:42] 你能不能只用腕部相机
[00:31:44] 或者说用其他的一些传感器
[00:31:47] 就把这个事情做了
[00:31:48] 这个事情在
[00:31:50] 基模
[00:31:50] 就是说最开始的
[00:31:51] 第一版的模型预训练的时候
[00:31:53] 我们只支持了手臂的自由度
[00:31:55] 然后只支持了
[00:31:57] 夹爪
[00:31:57] 然后
[00:31:59] 就是
[00:31:59] 没有头没有其他的所有的东西
[00:32:01] 对
[00:32:02] 然后九种构型
[00:32:03] 就是做一些简单的桌面上的一些
[00:32:06] 操作任务
[00:32:07] 所以你要做抓取你不能只考虑手
[00:32:09] 你还要考虑其他的部位
[00:32:11] 对
[00:32:11] 甚至于有些时候假如说
[00:32:13] 因为你看
[00:32:14] 最开始的很多BLA的这个demo是机器人是站在那不动的
[00:32:17] 甚至有一些大家做的
[00:32:19] 展示出来的东西
[00:32:20] 可能跟
[00:32:21] 可能都不一定是个人形
[00:32:23] 就是他可能只有两条手臂
[00:32:25] 就是实验室环境基本上大家都是这么打的
[00:32:27] 就是把这个东西都可以setup好
[00:32:29] 但实际上落地的时候
[00:32:31] 就是我们不可能让机器人
[00:32:33] 就是那个点位点的那么准
[00:32:35] 就是你如果要
[00:32:36] 假如说你需要够的时候
[00:32:38] 手够不到
[00:32:39] 那你是不是要移动一下
[00:32:40] 对
[00:32:41] 然后
[00:32:42] 就是刚刚说头是不是要抬一下
[00:32:43] 然后有些时候
[00:32:44] 包括视线到底在哪
[00:32:46] 对
[00:32:47] 然后你说抬就是你抓东西
[00:32:49] 那
[00:32:50] 够东西是要抬手嘛对吧
[00:32:52] 那我如果想要
[00:32:53] 从下面拿东西呢
[00:32:54] 你要弯腰
[00:32:55] 对
[00:32:55] 这些自由度
[00:32:56] 是我们之前
[00:32:58] 第一版模型完全没有考虑到
[00:32:59] 然后在这一版模型就是说这次就是相当于2.0这个发布中
[00:33:03] 就会发现
[00:33:04] 我们在这个机器人这个数据上其实做了
[00:33:07] 就是
[00:33:08] 比较大的一个
[00:33:09] 升级
[00:33:09] 从9种构型首先是升级到了20来的
[00:33:12] 20多
[00:33:13] 对
[00:33:13] 然后自由度是从原来的只有双臂
[00:33:16] 现在支持到带头带腰带地盘甚至带零脚手
[00:33:20] 对
[00:33:20] 就是这个东西
[00:33:22] 怎么说呢
[00:33:23] 这就是我觉得我们刚才说抓两头嘛一面是
[00:33:26] 就是
[00:33:26] 就是上线的牵引一面是抓落地
[00:33:28] 我觉得这个就是
[00:33:30] 落地的过程中告诉我们
[00:33:31] 到底应该
[00:33:32] 就是模型迭代有那么多方向到底应该什么是最重要的
[00:33:36] 对你迅模型来说你最重要的要做的事情是要找到这样的数据放到预训练里
[00:33:41] 对
[00:33:41] 你们这是一个多大的预训练规模呀
[00:33:43] 这个
[00:33:44] 我们这个应该是一个3B
[00:33:48] 基于
[00:33:49] 当时
[00:33:49] 应该是
[00:33:50] 基于3点几B的一个模型去做的
[00:33:53] 对
[00:33:53] 然后数据量大概是
[00:33:55] 搞到了6万个小时
[00:33:57] 6万个小时
[00:33:58] 对第一代是2万个小时嘛然后这一代是升级到6万小时
[00:34:01] 但其实
[00:34:02] 这一代升级到6万小时跟那个
[00:34:05] 第一代的2万小时还不一样因为
[00:34:07] 我们整个数据管线
[00:34:09] 因为之前就是
[00:34:10] 最开始做的时候感觉
[00:34:12] 很多什么样的数据是好的还没有完全的探索明白
[00:34:15] 然后
[00:34:16] 经过了第一版模型的发布之后
[00:34:19] 把很多这方面的数据
[00:34:19] 把很多这方面的数据
[00:34:20] 也重新清洗了一下
[00:34:22] 所以相当于
[00:34:23] 第一
[00:34:23] 第一次发布那个2万小时数据
[00:34:25] 落到这一次的可能就剩1万多了
[00:34:28] 对然后我们是在这样的一个更严格的
[00:34:31] 管线上
[00:34:32] 把这个数据
[00:34:33] 就是
[00:34:34] 又
[00:34:34] 做了一个
[00:34:35] 量的一个累积
[00:34:37] 对然后差不多
[00:34:38] 4倍应该是有的
[00:34:40] 对应该是上一版的4倍差不多吧
[00:34:43] 数据来源包括哪些啊
[00:34:45] 怎么收数据
[00:34:46] 收数据其实
[00:34:48] 你们是真机数据牌是吧
[00:34:49] 对我们是以
[00:34:50] 真机和可能还有一些ego的数据
[00:34:53] ego就是就是人戴着头上戴个相机去做的那种
[00:34:56] 你们仿真数据要吗
[00:34:57] 仿真我们可能会更多的把它留在评测上
[00:35:01] 就是
[00:35:02] 可能不太会用仿真的数据去做模型的训练仿真数据量是可以做的很大
[00:35:06] 但是数据除了说数量之外其实数据有一个很关键的点就是
[00:35:11] 就是分布
[00:35:12] 分布就包括了说比如构型可能是一种分布对吧任务维度也是一个分布
[00:35:18] 我觉得仿真数据
[00:35:19] 就是它可能在它擅长的方面
[00:35:22] 它可以就是瞬间就可以生成很大量的数据
[00:35:24] 这个事情是毋庸置疑的
[00:35:26] 但是从另一个角度说
[00:35:30] 怎么说呢
[00:35:30] 它可能分布会相对同质化会严重一点
[00:35:33] 就是就是它可能做的是差不多类似的任务
[00:35:37] 就是它的那种
[00:35:38] 比如说
[00:35:39] 尤其是一些这种柔性的仿真啊
[00:35:43] 或者说
[00:35:44] 就比如说你撕开一个塑料袋这种
[00:35:46] 其实对仿真来说我感觉
[00:35:48] 呃物理引擎的
[00:35:49] 还需要点时间再去做一些迭代
[00:35:52] 迭代升级可能那个时候仿真的数据用处会更大一点
[00:35:56] 但是对于
[00:35:57] 呃仿真现在比较好做的一些任务来说
[00:36:01] 嗯
[00:36:02] 呃比如说就是也是一些抓取啊挪呀这种这种这种任务来说
[00:36:06] 其实从现在整个行业的发展来看
[00:36:09] 呃真机数据的成本也在
[00:36:11] 在逐步的下降
[00:36:12] 降了多少
[00:36:13] 过去两年吧
[00:36:14] 我觉得至少得
[00:36:15] 降了三倍
[00:36:16] 不止
[00:36:17] 哦
[00:36:17] 对我我感觉是这样因为
[00:36:19] 从整个管理的
[00:36:22] 就是就人员管理的这个逐渐成熟
[00:36:24] 然后机器也逐渐成熟
[00:36:26] 对吧然后可能
[00:36:28] 嗯
[00:36:29] 呃数据的需求也逐渐变多就相当于数据也在量产
[00:36:33] 量产一定会降本的嘛
[00:36:34] 对所以说从各个方面的一个呃成熟我感觉是让真机数据的获取的
[00:36:41] 呃渠道
[00:36:42] 以及
[00:36:43] 这个
[00:36:44] 呃渠道会变多然后成本会变低
[00:36:46] 所以说可能这个
[00:36:48] 我觉得也
[00:36:49] 也代表了整个行业的一个
[00:36:51] 就是繁荣发展的一个趋势吧
[00:36:52] 嗯
[00:36:53] 对
[00:36:54] 有哪些类别的数据啊
[00:36:55] 准备数据上有什么
[00:36:57] 呃know-how吗
[00:36:59] 呃核心的是就是你到底要下发什么样的任务
[00:37:02] 嗯这是一个
[00:37:03] 比较
[00:37:04] 比较难的点
[00:37:05] 就你怎么能让你的任务尽可能的覆盖
[00:37:08] 我们刚刚说的所有的
[00:37:09] 自由度
[00:37:10] 它有一定的通用性
[00:37:11] 啊对
[00:37:12] 就你不能说我这个
[00:37:13] 这个数据里面90%其实都没有用到头
[00:37:16] 只有10%用到了头
[00:37:18] 不是非常准确啊我觉得
[00:37:19] 可能举个更好的例子就是说
[00:37:21] 呃头部出现的
[00:37:23] 就头部这个自由度出现的比例
[00:37:25] 跟可能腰部出现的比例
[00:37:27] 差差距特别多
[00:37:29] 那可能会导致我们的模型就更倾向于学
[00:37:32] 头
[00:37:32] 然后不太会动腰
[00:37:34] 哦对大概是这么
[00:37:35] 就是直观上讲可能是这么理解会好理解一点对
[00:37:38] 然后呃另外一个know-how可能就是数据真的拿到之后
[00:37:42] 怎么样把它
[00:37:43] 清洗好
[00:37:44] 这个链路是
[00:37:45] 是怎么样的
[00:37:46] 嗯这个
[00:37:47] 这个坑其实我们也
[00:37:49] 谈了比较
[00:37:50] 比较久啊因为
[00:37:51] 呃这里面有一个天然的
[00:37:53] 困难点就是我们是做的是这种
[00:37:56] 跨本体的模型
[00:37:57] 嗯
[00:37:57] 每家本体的特性都是不一样的
[00:37:59] 所以很多数据处理的方式可能是要跟本体
[00:38:03] 有比较强的关系的
[00:38:04] 就是不是说
[00:38:06] 真的说每家本体都可以用
[00:38:08] 一种数据链路就
[00:38:09] 搬卷处理掉
[00:38:10] 对你可以列成
[00:38:12] 就是比如他的那个相机摆放的位置可能就不一样
[00:38:15] 对吧他的自由度的这个关节的呃比如说几个字
[00:38:19] 自由度的连接方式
[00:38:20] 也不一样
[00:38:21] 就是所谓的这种configuration嘛
[00:38:23] 啊就是这种机器配置的不同其实对这个数据的处理上
[00:38:27] 带来了很大的难度
[00:38:28] 嗯对
[00:38:29] 所以说可能我觉得核心的know-how应该就是
[00:38:32] 这两个吧一个是怎么下发任务以及
[00:38:35] 呃数据真的拿到了之后怎么把它处理得更干净
[00:38:37] 有观察到什么通用性好的任务吗
[00:38:40] 通用性好的
[00:38:41] 呃其实还是说
[00:38:43] 呃操作越简单的
[00:38:45] 他就
[00:38:46] 通用性越好
[00:38:47] 就是因为这个事情可能
[00:38:49] 可能取决于操作员的能力了
[00:38:51] 嗯
[00:38:52] 因为你越复杂的任务可能能够把这个任务
[00:38:55] 完整或者说丝滑做下来的
[00:38:58] 素材员
[00:38:59] 就比较少
[00:38:59] 嗯
[00:39:00] 对因为如果他的动作就是素材的过程中这个动作假如说不丝滑
[00:39:05] 很有可能就导致
[00:39:06] 因为你是没办法把它修丝滑的
[00:39:08] 就一条数据嘛
[00:39:09] 对因为那个成本就
[00:39:11] 巨高了
[00:39:11] 对如果你不能把它修的丝滑的话可能会导致你学出来的模型就他就
[00:39:16] 他以为这是一种正确的操作方式
[00:39:18] 对就可能
[00:39:19] 最后模型在控机器人的时候那个机器人也
[00:39:21] 也也也非常卡
[00:39:23] 对
[00:39:23] 就这个都是
[00:39:25] 怎么说呢就
[00:39:26] 嗯可能素材员这个行业也在
[00:39:29] 也在进化
[00:39:30] 对对对也在也在成长对
[00:39:32] 这是你们自己的素材员还是外包的公司啊
[00:39:35] 呃
[00:39:35] 都有
[00:39:36] 对我们有因为我们是整个是一个比较
[00:39:40] 就是我们有那么多种构型嘛
[00:39:41] 对我们可能有一些合作伙伴
[00:39:44] 生态上的合作伙伴尤其是数据测的本体测的都有
[00:39:47] 然后我们可能
[00:39:48] 呃
[00:39:49] 会拜托他们帮我们就是一起去把这个数据
[00:39:52] 体系建立起来
[00:39:54] 然后同时有一些呃比较难的任务
[00:39:56] 所以就是我们还保留了一定的自己的
[00:39:59] 就是采集数据的这个能力
[00:40:01] 让
[00:40:02] 就至少我们先把这个SOP先弄清楚
[00:40:05] 就是我们的人先把这个东西做一遍
[00:40:06] 然后把它
[00:40:07] 就是再再再去沟通给别人然后说这个事情能不能帮我
[00:40:11] 就是补一些什么样的数据
[00:40:13] 对
[00:40:13] 所以很多素材方面的坑其实也是我们
[00:40:17] 自己在
[00:40:18] 也是也是自己一点点的在摊
[00:40:20] 嗯
[00:40:21] 我听我一个说法就是
[00:40:22] 有一些错误数据错误了再纠正的数据也是好数据
[00:40:26] 呃对那个可能跟真经强化可能会有点关系吧
[00:40:29] 但但是那种素材其实也也一样就是
[00:40:32] 呃你人要在旁边
[00:40:34] 就是相对看着他
[00:40:35] 然后你你要知道他犯错了
[00:40:36] 然后你要在合适的时间打断他然后并给他一个正确的
[00:40:39] 示范
[00:40:40] 这个这个这个是这样的
[00:40:41] 就是我们现在因为为了落地吗为了提高成功率其实我们也
[00:40:46] 呃内部也
[00:40:47] 就是
[00:40:48] 在在这个
[00:40:50] 落地这个环节其实也加入了真机强化的这一部分
[00:40:53] 就是说怎么能够
[00:40:54] 让这个机器人从
[00:40:56] 可能本来模型没有做的特别好然后去纠正他然后把这个模型变得更好
[00:41:00] 这个是有的
[00:41:01] 但是
[00:41:01] 嗯但是这个东西可能就
[00:41:04] 呃
[00:41:04] 更偏
[00:41:06] 落地一点可能我们没有在这个
[00:41:08] 开源的这个
[00:41:09] 技术报告里面去体现
[00:41:10] 嗯对
[00:41:11] 你们这次六个模型他们之间的关系是什么样
[00:41:13] 哦这个其实是
[00:41:16] 我我觉得这是一个这一段的
[00:41:18] 第一次我们做的一个比较好的地方就是
[00:41:21] 呃
[00:41:22] 我我我先大概讲一下关系吧然后我再说一下为什么我觉得是做的比较好的地方对
[00:41:27] 首先第一天我们会搞了两个模型
[00:41:30] 一个是这个微人
[00:41:32] 就是灵宝微人然后另外就是一个灵宝Depth的升级
[00:41:35] 对
[00:41:36] 这两个模型是因为我们上一版
[00:41:38] 就是在1.0那个版本的时候做的Depth其实是基于Deno去做的
[00:41:43] 对当时我们是用的Deno
[00:41:45] Deno V2当我们的Pretrain Model
[00:41:46] 然后Deno V2其实也算是一个很好的模型
[00:41:47] 然后Deno V2其实也算是一个很好的模型
[00:41:48] 算是一种数字世界的模型吧
[00:41:50] 然后他可能更多的他比较擅长的任务就是那种语义的理解
[00:41:54] 对但是其实我们发现语义的理解的这种预训练课呢
[00:41:58] 因为因为在数字世界语义
[00:41:59] 就是你理解语义其实就够了很多时候
[00:42:02] 对吧就是比如说知道这是一盆花然后知道这是一只狗
[00:42:05] 这可能就够了
[00:42:06] 对但是我们在发现
[00:42:08] 呃这个事情
[00:42:09] 就是这种语义级别的理解
[00:42:11] 跟
[00:42:12] 呃真的说想要去理解空间或者说理解距离
[00:42:16] 好像
[00:42:17] 并不是天然的吗
[00:42:18] 所以说我们
[00:42:20] 自己重新做了一遍
[00:42:22] 预训练
[00:42:22] 这次预训练就不再是跟Deno不一样的是
[00:42:26] 我们是完全从几何的角度出发去做的预训练建模
[00:42:31] 几何角度
[00:42:32] 呃怎么理解呢
[00:42:33] 我觉得你可以
[00:42:34] 粗浅的列成点线面吧
[00:42:36] 就是说呃给你一张图
[00:42:38] 然后你先看有哪些
[00:42:40] 就是
[00:42:40] 比如就你就或者说就边缘
[00:42:43] 对就是我们是从边缘出发
[00:42:44] 去让这个呃模型更好的去理解
[00:42:48] 几何的角度
[00:42:48] 几何这个概念
[00:42:49] 嗯
[00:42:49] 然后因为几何
[00:42:50] 其实距离也是
[00:42:52] 就是它跟距离是比较
[00:42:53] 比较相关的嘛
[00:42:54] 对
[00:42:54] 然后所以基于这样的一个
[00:42:57] 呃Viren
[00:42:58] 就是我们这次更新了底下的基模
[00:43:00] 然后会发现
[00:43:02] 就比
[00:43:03] 之前用Deno V2
[00:43:04] 去做的这个Depth
[00:43:06] 要好
[00:43:07] 有一个比较比较大的一个提升
[00:43:09] 然后同时
[00:43:10] 呃经过了半年的积累
[00:43:11] 其实我们的数据量又翻了几倍
[00:43:14] 嗯
[00:43:14] 然后所以说
[00:43:15] 从我们又把这个Depth
[00:43:16] 基于我们自己的新的
[00:43:18] 基模
[00:43:18] 然后以及更多的数据
[00:43:19] 又迭代了一半
[00:43:20] 对
[00:43:21] 所以说有了一个更好的Depth
[00:43:22] 然后这次Depth
[00:43:23] 嗯
[00:43:24] 我
[00:43:25] 我觉得有几个比较有意思的例子啊
[00:43:28] 第一个是我
[00:43:29] 我当时看到的比较正经
[00:43:31] 就是呃一个厨房里那种
[00:43:33] 比较透明的那种水龙头
[00:43:34] 不是透明
[00:43:35] 就是反光的水龙头
[00:43:36] 然后把水打开了
[00:43:37] 嗯
[00:43:37] 然后可以看到
[00:43:39] 我们是可以清晰的看到水流的
[00:43:41] 就哪怕
[00:43:43] 清晰看到水流
[00:43:44] 对
[00:43:44] 就是
[00:43:45] 就是因为这个事情
[00:43:46] 对于一个机器人
[00:43:47] 真的想执行
[00:43:48] 一个任务来说
[00:43:48] 是很关键的
[00:43:49] 就是
[00:43:50] 你必须要能看到水
[00:43:51] 假如说就是接水
[00:43:53] 你必须要先能看到水
[00:43:54] 你说的机器人看到水
[00:43:56] 对
[00:43:57] 哦
[00:43:57] 就是你要看到水的位置
[00:43:59] 不是说
[00:43:59] 不是说看到水打没打开
[00:44:01] 你要知道水流在哪里
[00:44:02] 哦
[00:44:03] 他之前看不到吗
[00:44:04] 呃
[00:44:04] 之前应该是
[00:44:06] 之前他知道那个水
[00:44:08] 水流是开的
[00:44:09] 但是距离肯定是不准的
[00:44:10] 基于我们的Vision
[00:44:11] 训出来的这个Depth
[00:44:12] 他能
[00:44:12] 这是一个我觉得比较有意思的点
[00:44:14] 然后第二个点
[00:44:15] 我觉得更形象了
[00:44:16] 那个
[00:44:17] 我
[00:44:17] 我其实
[00:44:17] 比较喜欢拿这个例子
[00:44:19] 去去去做一个解释啊
[00:44:21] 就是呃
[00:44:22] 我来就是可以解释一下
[00:44:23] 为什么语义理解
[00:44:24] 跟
[00:44:25] 就是数字世界的语义理解
[00:44:27] 跟这个物理世界的这个距离
[00:44:29] 是不一样的
[00:44:29] 这是一个很有意思的例子啊
[00:44:31] 就是
[00:44:31] 呃
[00:44:32] 就是一个假如说阳台
[00:44:33] 然后有一个玻璃门
[00:44:34] 然后外面有一只猫
[00:44:35] 你会看到我们这次的Depth模型
[00:44:38] 是完全看不到那只猫的
[00:44:41] 因为它前面挡了一道玻璃
[00:44:44] 就是这是
