[00:00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:00:30] 今天这场对话让我感受到了一种冰冻解封后的人间烟火气息
[01:29:22] 所有这些事情都能成立
[01:29:24] 所以它是一个巨大的规模
[01:29:26] 然后人与人之间全都会被联系到一起
[01:29:29] 然后我觉得这也是为什么
[01:29:32] research或者science这件事情
[01:29:34] 特别奇妙的一点
[01:29:35] 因为我觉得很多时候
[01:29:37] 人与人的这种彼此的信任
[01:29:41] 彼此的欣赏
[01:29:42] 彼此的这种感受吧
[01:29:46] 我觉得不是通过
[01:29:47] 比如大家非要生活在一起
[01:29:49] 然后做朋友这样建立起来的
[01:29:51] 很多时候其实是通过
[01:29:53] scientific discovery这种
[01:29:55] 这种research的部分建立起来的
[01:29:58] 人与人的关系
[01:29:59] 我觉得这件事情其实是非常有意思的
[01:30:01] 比如说对我很深影响的人
[01:30:04] 我可能了解他们的个人
[01:30:07] 当然我也会尝试去了解他们的个人
[01:30:09] 对吧
[01:30:10] 但这个对我来说不重要
[01:30:11] 我似乎在透过他们的论文
[01:30:14] 了解他们的想法
[01:30:16] 然后我觉得这才是research的意义
[01:30:19] 我觉得research的意义不是为了发论文
[01:30:21] 我不认为
[01:30:23] 发论文是
[01:30:25] 是这件事情的一个目的
[01:30:28] 完全不是这样
[01:30:29] 目的应该是
[01:30:31] 目的是什么呢
[01:30:33] 是对人的游历吗
[01:30:36] 我觉得凯明跟我说
[01:30:38] 这个目的是
[01:30:41] 其实他的本质的意思是要把这个
[01:30:44] 把knowledge share出去
[01:30:46] 就是你发的论文的目的不是
[01:30:49] 给别人看的
[01:30:51] 是为了让别人看到这个论文之后
[01:30:54] 让别人有事情做
[01:30:56] 就是你发表一篇论文
[01:30:59] 别人understand了一些其中的内容
[01:31:01] 然后大家会觉得我自己的视野被打开了
[01:31:04] 就是对别人有帮助
[01:31:06] 对别人有帮助
[01:31:07] 能够inspire别人
[01:31:09] 或者说能够启蒙别人
[01:31:10] 这个是research的目的
[01:31:12] 我觉得这是research的目的
[01:31:14] 或者说一个更浪漫的说法
[01:31:16] 其实是说
[01:31:18] 这句话是汉娜·阿伦特说的
[01:31:21] 然后她说
[01:31:23] 我不在乎什么impact
[01:31:25] 我不在乎影响力这件事
[01:31:27] 因为其实在research圈子里面
[01:31:29] 大家会说我们发paper的目的是
[01:31:31] 创造某种impact
[01:31:33] 其实在我字典里面
[01:31:35] 我其实有点对impact这个词是有抵触的
[01:31:37] 抵触
[01:31:38] 有一点抵触
[01:31:40] 为什么呀
[01:31:41] 你抵触它的是什么
[01:31:43] 阿伦特他说的说法是说
[01:31:45] 他觉得impact这个词
[01:31:48] 是一个过于aggressive
[01:31:51] 过为男性化的一个词
[01:31:53] 对他来说
[01:31:55] 他做这些事情的目的
[01:31:57] 不是创造impact
[01:31:59] 而是为了理解本身
[01:32:01] 他觉得如果能够理解到一个事情
[01:32:03] 这件事情的感觉是很奇妙的
[01:32:06] 如果你能把你理解到的东西写下来
[01:32:09] 不管是一篇文章
[01:32:11] 一篇论文也好
[01:32:12] 传播出去
[01:32:13] 那你就能够有可能
[01:32:15] 让这世界上更多的人
[01:32:17] 对这样的一个问题
[01:32:19] 有跟你一样的这种理解
[01:32:21] 然后这件事情
[01:32:23] 会一步一步的传导下去
[01:32:26] 形成一个很大程度上某种共鸣
[01:32:30] 然后阿伦特的说法是
[01:32:33] 他会在这之中找到一个家人的感觉
[01:32:37] 他会觉得自己理解了一件事情
[01:32:40] 告诉别人
[01:32:41] 让别人能够被理解
[01:32:43] 说明这些人也一定程度上理解了我
[01:32:47] 但我觉得人作为社会上的生物
[01:32:49] 是需要被理解的
[01:32:51] 他把影响力
[01:32:53] 这个词用了一种非常柔软的方式
[01:32:55] 表达了出来
[01:32:56] 是在谋求理解
[01:32:58] 我觉得是
[01:33:00] 你赞同这个说法
[01:33:01] 我觉得很赞同他
[01:33:03] 因为我觉得
[01:33:05] 对我觉得创造impact这件事情
[01:33:07] 他特别以我为中心
[01:33:10] 我要创造impact
[01:33:12] 对以我为中心
[01:33:14] 并且是
[01:33:15] 对你说非常对
[01:33:16] 我要创造这个impact
[01:33:18] 我要改变这个世界
[01:33:20] 但这个世界的人
[01:33:23] 同意我这样改变它吗
[01:33:25] 或者说这个世界上很多的灾难
[01:33:28] 其实是因为大家要创造impact
[01:33:31] 要去改造这个世界
[01:33:33] 所带来的
[01:33:34] 对我觉得这件事情
[01:33:36] 我会倾向于
[01:33:38] 同意这种更柔软的表述
[01:33:40] 我觉得
[01:33:41] 如果能让在这个世界上的所有的人
[01:33:44] 因为我们做的研究
[01:33:47] 能够对问题多了一层新的认识
[01:33:49] 多了一层新的了解
[01:33:51] 那这个地球上的智能总量
[01:33:54] 就会被提上去
[01:33:55] 但地球上智能总量
[01:33:57] 提升这件事情
[01:33:58] 永远不是一件错误的事
[01:34:00] 它永远是一个对
[01:34:02] 世界来说有利的事
[01:34:04] 不管是impact也好
[01:34:06] 还是被更多的人理解也好
[01:34:08] 你希望被更多的人
[01:34:09] 认识和记住吗
[01:34:12] 你对这种fame是有需求的吗
[01:34:15] 我当然没有这个需求了
[01:34:16] 你没有这个需求
[01:34:17] 但我觉得
[01:34:18] 我没有这个需求
[01:34:19] 真的吗
[01:34:20] 或者说
[01:34:21] 我站在我现在这个角度
[01:34:23] 我其实是某种
[01:34:25] 虚假的fame的一个受害者
[01:34:28] 原因是现在
[01:34:30] 大家会把我们的一些论文
[01:34:31] 放到小红书上去议论
[01:34:34] 然后其实这件事情
[01:34:36] 没有一个
[01:34:37] 或者说大家说
[01:34:38] 所谓什么三大会
[01:34:39] 然后要宣传工作
[01:34:41] 我从来没有一次要求过
[01:34:44] 任何一家这样的媒体
[01:34:47] 去做这样的宣传
[01:34:48] 然后我跟我的学生说
[01:34:51] 你们千万不要去什么去小红书
[01:34:53] 去什么知乎
[01:34:54] 去宣传自己的工作
[01:34:56] 你可以去解释你的工作
[01:34:57] 你可以去评论你的工作
[01:34:59] 没有问题
[01:35:00] 不要去宣传自己的工作
[01:35:01] 为什么在X上是可以的呢
[01:35:03] 我觉得X上面
[01:35:05] 更多的还是
[01:35:07] 还是看怎么叫做宣传吧
[01:35:10] 我觉得我更focus的东西
[01:35:12] 还是说把这件事情
[01:35:13] 稍微凝练总结
[01:35:15] 然后告诉大家是怎么回事
[01:35:17] 更有点像吸引大家去看我的工作
[01:35:20] 我觉得这件事情没有问题
[01:35:21] 但我说的宣传更像是
[01:35:23] 你说的Fame这件事情
[01:35:25] 因为我真的很不能接受的事情
[01:35:27] 是大家现在会说
[01:35:29] 某某某团队发表了什么工作
[01:35:33] 会强化那个人
[01:35:35] 会强化这个人
[01:35:36] 某个人的团队
[01:35:37] 会强化这个人
[01:35:38] 对
[01:35:39] 如果有小编们听到这件事情的话
[01:35:41] 希望大家以后能够不去说这件事
[01:35:45] 不能写谢在你团队上
[01:35:46] 不要把我的照片放在上面
[01:35:48] 不要把我的名字放在上面
[01:35:50] 我们需要更加鼓励年轻人
[01:35:52] 真正做出这个工作的人
[01:35:55] 让他们有更多的visibility
[01:35:57] 那他也可能会觉得你是一座
[01:35:59] 对
[01:36:00] 如果我是一座的工作
[01:36:01] 没问题啊
[01:36:02] 但我不是一座
[01:36:03] 我只是这个团队的负责人
[01:36:05] 然后很多这些工作
[01:36:07] 都是学生做的
[01:36:09] 那应该叫什么呢
[01:36:10] 不叫写在你团队
[01:36:12] 就事论事就好
[01:36:14] 讲这件事情
[01:36:15] 解决了什么问题
[01:36:17] 然后它为什么重要
[01:36:19] 我觉得就够
[01:36:21] 你很讨厌被别人拿出来当把子是吗
[01:36:25] 对啊
[01:36:26] 因为我觉得这件事情
[01:36:27] 会增加增加很多的风险吧
[01:36:30] 我觉得
[01:36:31] 那你来讲讲那些影响过你的人吧
[01:36:35] 其实刚才我们已经讲过几个人了
[01:36:37] 凯明涂教授还有吗
[01:36:39] 是
[01:36:41] 我觉得
[01:36:42] 对吧
[01:36:43] 这个是在是在非常重要的
[01:36:45] 那其实可以顺着fair往下讲
[01:36:46] 那就是说
[01:36:47] fair结束之后
[01:36:48] 那我就来nyu了
[01:36:50] 我觉得这又是一个
[01:36:52] decision making the point
[01:36:53] fair待了四年
[01:36:55] 待了四年整
[01:36:56] 对
[01:36:57] OK
[01:36:58] 是的
[01:36:59] 也是起起伏伏
[01:37:00] 对
[01:37:01] 我刚刚说
[01:37:02] 我很多去的地方
[01:37:03] 其实都跟这个地方共同成长
[01:37:05] 可能fair是一个例外
[01:37:07] 我去的时候是它的顶点
[01:37:09] 是高点
[01:37:10] 可能是高点
[01:37:11] 对
[01:37:12] 然后现在
[01:37:13] 对也很可惜吧
[01:37:14] 现在在难以发生的事情
[01:37:17] 但我觉得也
[01:37:18] 嗯
[01:37:19] 对
[01:37:20] 我因为我跳船跳的比较早
[01:37:21] 所以我也不是在
[01:37:22] 在他在他这个这个这个谷底的时候才才离开
[01:37:26] 对
[01:37:27] 我觉得我也是看到了一些迹象
[01:37:29] 对
[01:37:30] OK
[01:37:31] 然后
[01:37:32] 但是对
[01:37:33] 然后然后我觉得如果如果说影响我的人的话
[01:37:36] 那在这个过程中去nyu的时候
[01:37:38] 我觉得这又是一个蛮玄学的一个决策的过程
[01:37:41] 对吧
[01:37:42] 然后那个时候
[01:37:43] 其实决定去nyu
[01:37:45] 我刚刚其实也说了
[01:37:46] 是因为可能我会比较喜欢这个城市
[01:37:49] 然后但我觉得另外一个很重要的事情也是因为
[01:37:53] Yang在这儿
[01:37:54] 对Yang Kun在这儿
[01:37:55] 嗯
[01:37:56] 对
[01:37:57] 嗯
[01:37:58] 为什么他在这儿你愿意去
[01:38:00] 你们在fair也是共事过
[01:38:02] 呃
[01:38:03] 他会
[01:38:04] 他经常会说他有recruit我
[01:38:07] 就是招招了我三次
[01:38:08] 对吧
[01:38:09] 然后第一次是在fair啊
[01:38:11] 但那时候是因为他是这个fair的
[01:38:12] 总的负责人
[01:38:14] 嗯
[01:38:15] 他是这个fair的director
[01:38:16] 啊
[01:38:17] 我没有跟他直接的共事
[01:38:18] 对
[01:38:19] 但也当然也受到了他的影响
[01:38:20] 或者长期以来
[01:38:21] 有交流吗
[01:38:22] 有交流
[01:38:23] 聊过
[01:38:24] 嗯
[01:38:25] 但没有直接的合作
[01:38:26] 嗯
[01:38:27] 然后去nyu是第二次
[01:38:29] 啊
[01:38:30] 第三次我们可以之后再聊
[01:38:31] 嗯
[01:38:32] 嗯
[01:38:33] 然后
[01:38:34] 然后在nyu这段经历也是
[01:38:36] 我觉得
[01:38:37] 我觉得为什么他在这儿非常重要
[01:38:39] 也是因为我觉得他是一个非常有vision的这样一个人
[01:38:41] 所以
[01:38:42] 对
[01:38:43] 我觉得我觉得还是很多很直觉的这种决定吧
[01:38:45] 比如说nyu的教学楼
[01:38:46] 我们叫做这个scientific data science
[01:38:47] 呃
[01:38:48] 是
[01:38:49] 就是就是所谓的这种数据科学中心
[01:38:50] 啊
[01:38:51] 这件事情其实是样前头
[01:38:52] 在过去十几年之前
[01:38:53] 就
[01:38:54] 就设立了这样一个一个组织
[01:38:55] 对
[01:38:56] 他独立于
[01:38:57] 啊
[01:38:58] 比如说传统的计算机系
[01:38:59] 或者数学系之外
[01:39:00] 他是一个
[01:39:01] 新的这样一个department
[01:39:02] 对
[01:39:03] 所以
[01:39:04] 这个
[01:39:05] 这个
[01:39:06] 这个
[01:39:07] 这个
[01:39:08] 这个
[01:39:09] 这个
[01:39:10] 这个
[01:39:12] 就是一个
[01:39:13] 就是一个
[01:39:13] 一个
[01:39:14] Kingdom
[01:39:30] 这个
[01:39:36] 一个
[01:39:38] 一个
[01:39:39] 虽然很混乱
[01:39:41] 有各种各样的机器人
[01:39:43] 在地上跑来跑去
[01:39:44] 然后有各种各样的学生
[01:39:46] 在这个沙发那个沙发
[01:39:47] 然后坐着学习
[01:39:49] 然后没有任何隐私
[01:39:51] 毫无隐私可言
[01:39:52] 所有的教授的办公室的玻璃门
[01:39:54] 看得清清楚楚
[01:39:56] 里面发生的事情
[01:39:57] 对
[01:39:58] 但我觉得这个很有趣
[01:40:00] 这个环境很有趣
[01:40:01] 对
[01:40:02] 现在其实越来越多的
[01:40:05] 美国的学校开始
[01:40:06] 有这样的effort
[01:40:08] 就是说我们希望有一个
[01:40:09] 这种interdisciplinary
[01:40:14] 就是跨学科的这种中心
[01:40:16] 对吧
[01:40:16] 通常来讲就是说
[01:40:17] 这种AI的这种中心
[01:40:19] 然后通过它来吸引人才
[01:40:22] 通过它来把不同的院系
[01:40:24] 组织到一起
[01:40:25] 因为AI确实承担了一个
[01:40:28] 这种中间层的这样一个
[01:40:30] 一个身份和位置
[01:40:32] 连接大家
[01:40:33] 连接大家
[01:40:34] 都需要
[01:40:34] 对
[01:40:35] 不管你是做科学的
[01:40:37] 对吧
[01:40:37] 做物理做化学
[01:40:38] 然后做
[01:40:39] 数学做统计商学院
[01:40:42] 然后包括当然计算机科学
[01:40:44] 我觉得AI是一个很好的
[01:40:46] 一个中继的
[01:40:46] 什么样一个中间的节点
[01:40:48] 对
[01:40:48] 但一样的远见在于它
[01:40:50] 十几年前
[01:40:52] 就把这件事情
[01:40:53] 已经establish下了
[01:40:55] 对
[01:40:56] 所以我觉得
[01:40:57] 我觉得它这个
[01:40:58] 是蛮 visionary 的一个人
[01:41:00] 对
[01:41:02] 然后
[01:41:02] 所以 NYU 在 AI 的布局上面
[01:41:05] 也很好
[01:41:06] 所以其实
[01:41:07] again 我觉得
[01:41:09] 这个计算机系不是它的这个学校的强项
[01:41:12] 但是它有很多
[01:41:14] AI 的人才储备
[01:41:17] 对
[01:41:17] 它汇集了很多很厉害很厉害的AI的这种
[01:41:20] 这种faculty
[01:41:21] 对
[01:41:21] 嗯
[01:41:22] Lacoon 是你选择 NYU 的一个原因
[01:41:25] 这也是
[01:41:27] 我觉得有很多很多原因
[01:41:28] 它是其中之一
[01:41:29] 因为它需要面试我
[01:41:30] 然后它需要最后拍板
[01:41:32] 对
[01:41:32] 或者说是它选择了我
[01:41:34] 嗯
[01:41:35] 重要的人还有其他人吗
[01:41:37] 嗯
[01:41:38] 我觉得
[01:41:39] 还有啊
[01:41:40] 比如说在 NYU 的这个
[01:41:43] 时间
[01:41:44] 然后我还跟
[01:41:45] 很多其他的
[01:41:47] 老师也有合作
[01:41:48] 然后对我影响
[01:41:49] 我觉得
[01:41:50] 很大的一个人也是
[01:41:51] 可能飞飞老师吧
[01:41:52] 对
[01:41:53] 啊
[01:41:53] 我觉得李飞飞老师
[01:41:55] 嗯
[01:41:56] 他写的那本书
[01:41:57] 大家一定要看一看
[01:41:58] 对
[01:41:58] 就是他的自传
[01:41:59] 嗯
[01:42:00] 啊
[01:42:01] 然后我也读过
[01:42:02] 但是我觉得跟他
[01:42:04] 深入交流下来
[01:42:05] 我觉得我的收获又更大
[01:42:07] 对
[01:42:07] 然后或者说有时候
[01:42:09] 我会我会跟他说我遇到
[01:42:11] 我面临的这个困境和challenge
[01:42:14] 然后飞飞老师
[01:42:16] 会很语重心长的告诉我
[01:42:18] 他过去的一些故事
[01:42:20] 嗯
[01:42:21] 然后这些事情其实对我是一个极大的安慰
[01:42:23] 比如说什么样的故事啊
[01:42:25] 具体的事情可能可能就不方便讲了
[01:42:28] 但是总之是他一路成长起来
[01:42:31] 其实也不是一帆风顺
[01:42:33] 嗯
[01:42:34] 他也是有有有需要
[01:42:36] 嗯
[01:42:37] 踏遍很多的事情啊
[01:42:38] 嗯
[01:42:39] 有很多的经济
[01:42:40] 然后一步一步克服很多的障碍
[01:42:43] 然后到现在站在这种世界的舞台上啊
[01:42:46] 变成一个华人骄傲
[01:42:48] 或者说变成整个这种research领域
[01:42:51] 计算机视觉的一个北极星啊
[01:42:54] 让大家能够看到啊
[01:42:58] 他他他他他想的想的事情
[01:43:01] 然后能够啊
[01:43:03] 在某种意义上制定一些新的这种路线吧
[01:43:07] 我觉得这件事情啊
[01:43:09] 对他对我的影响都非常非常大
[01:43:11] 嗯
[01:43:12] 然后我觉得飞游老师
[01:43:14] 最厉害的点在于他是一个能够定义问题的人
[01:43:19] 嗯
[01:43:20] 就这件事情其实也不是一个很很很直观的事情
[01:43:23] 就是说其实大家说这个飞游老师
[01:43:26] 呃
[01:43:27] 最厉害的
[01:43:28] 这个这个成就就是build的这个image net这个dataset
[01:43:32] 但事实上这个不只是一个dataset
[01:43:34] 这个不只是一个数据集
[01:43:36] 啊
[01:43:37] 你大家可能很难想象啊
[01:43:38] 可能在过去这个时间点
[01:43:40] 对吧
[01:43:41] 然后啊
[01:43:42] 比如2012年或者2011年的时候
[01:43:45] 图像分类不是一个明确的问题
[01:43:48] 啊
[01:43:49] 就是把这个问题定义清楚
[01:43:51] 远比build这样一个数据集要强的多的多
[01:43:54] 要要重要的多的多的多
[01:43:55] 嗯
[01:43:56] 嗯
[01:43:57] 然后
[01:43:58] 我觉得飞游老师就是说set了这个agenda
[01:44:01] 把这个问题定义清楚
[01:44:02] 使得接下来deep learning可以有一个playground
[01:44:06] 有这样一个平台
[01:44:07] 啊
[01:44:08] 可以去施展拳脚
[01:44:09] 我觉得这件事情是是是他最厉害的地方
[01:44:11] 也也是我一直想学习的地方
[01:44:13] 嗯
[01:44:14] 对
[01:44:15] 所以我跟他做了有两篇工作
[01:44:17] 一篇是thinking space
[01:44:18] 然后这篇论文主要也是在涉及到这种多默态的圆模型里面
[01:44:23] 怎么样去解决
[01:44:24] 呃
[01:44:25] 更好的解决这种啊
[01:44:27] 这种空间智能的问题
[01:44:28] 然后最近我们有一篇paper叫啊
[01:44:31] cambrian s
[01:44:32] 然后这个论文也是涉及到事情是说在设计的问题上
[01:44:36] 比如说在视频里面啊
[01:44:38] 我们怎么样去定义问题
[01:44:40] 到底哪些问题才是重要的
[01:44:42] 对
[01:44:43] 我觉得我觉得这一部分跟他的合作也帮我拓展了我research的边界
[01:44:49] 飞飞老师是怎么跟你熟识的呀
[01:44:51] 呃
[01:44:52] 都是很机缘巧合的机会吧
[01:44:54] 他有有一次来纽约出差
[01:44:55] 然后我们就一起吃了吃饭
[01:44:58] 哦
[01:44:59] 然后我们讲讲跟我讲了很多很多东西
[01:45:01] 对
[01:45:02] 然后后来他经常会来纽约
[01:45:04] 然后因为他也在创业嘛
[01:45:06] 呃
[01:45:07] 然后我们会经常一起聚一聚
[01:45:08] 然后聊一聊
[01:45:09] 对
[01:45:10] 大概是这样
[01:45:11] 然后平时我们会在research上面会有一些meeting
[01:45:14] 嗯
[01:45:15] 我有一个好奇
[01:45:16] 我想
[01:45:17] 可能也是很多人对你的好奇
[01:45:19] 就是你是怎么样
[01:45:21] 从
[01:45:22] 一个非常年轻的
[01:45:24] 开始做学术的
[01:45:26] 研究者
[01:45:27] 然后慢慢的能够和这些ai
[01:45:30] 业内赫赫有名的人走到一起
[01:45:32] 并且站到一起的
[01:45:34] 也就是说你是怎么走进
[01:45:36] ai的核心的呀
[01:45:39] 我还是不觉得我在ai的核心
[01:45:42] 或者走进ai的核心吧
[01:45:44] 嗯
[01:45:45] 因为你刚才说的这些人
[01:45:46] 肯定很多人都很想跟他们合作
[01:45:49] 是吗
[01:45:50] 当然是了
[01:45:51] 对
[01:45:52] 我觉得
[01:45:53] 而且你看你们都是一些机缘巧合
[01:45:56] 可能凯明是刚过去
[01:45:58] 你作为intern
[01:45:59] 让他打开了自己
[01:46:00] 然后飞飞老师是也你们也就是吃了一顿饭
[01:46:03] 你是怎么让他们打开自己的呢
[01:46:05] 我觉得这件事情很难刻意的做到
[01:46:11] 嗯
[01:46:12] 或者说
[01:46:13] 这件事情也有点玄学
[01:46:15] 我会觉得
[01:46:16] 你可以教他某种
[01:46:17] 吸引力法则
[01:46:18] 或者说你可以认为
[01:46:21] 大家想法一致的人
[01:46:23] 最终都会聚聚聚合在一起
[01:46:26] 虽然你可能有无数的小息
[01:46:27] 但最后可能都会汇聚到一条河流上
[01:46:31] 我觉得比如说
[01:46:33] 我上书列举的所有的人
[01:46:34] 他都至少是作为认的
[01:46:37] 或者说
[01:46:38] 或者即使包括样
[01:46:39] 他可以认为是做这样的
[01:46:41] 但他出发点对吧
[01:46:42] 也是做这种数字的识别
[01:46:43] 这件事情也是一个视觉的问题
[01:46:45] 对
[01:46:46] 我觉得大家的这个根基还是非常非常非常非常吻合的
[01:46:52] 嗯
[01:46:53] 嗯
[01:46:54] 所以我觉得我真的没有刻意让这件事情发生
[01:46:57] 对
[01:46:58] 然后很多
[01:46:59] 或者说我觉得也不需要很刻意的那些事情发生吧
[01:47:01] 大家只是基于这些research的问题吧
[01:47:03] 然后对这些问题的理解
[01:47:05] 然后一起合作
[01:47:08] 对
[01:47:09] 嗯
[01:47:10] 我觉得我会这么认为认定这个问题
[01:47:11] 就是从外部看
[01:47:12] 嗯
[01:47:13] 我觉得你是一个很有目标
[01:47:14] 然后很有逻辑的人
[01:47:15] 但是刚才通过我们聊
[01:47:17] 我发现你是一个选择上
[01:47:18] 没有逻辑
[01:47:19] 还蛮无序的人
[01:47:20] 对吧
[01:47:21] 对
[01:47:22] 我觉得我觉得有一点无序啊
[01:47:23] 嗯
[01:47:24] 但我觉得这也是一个所谓的by design的过程
[01:47:26] 就是我觉得我选择这样的无序啊
[01:47:28] 我觉得呀
[01:47:30] 我觉得我觉得用这个这个这个
[01:47:32] 这个这个很老套的说法就是follow your heart
[01:47:34] 对吧
[01:47:35] 但我觉得其实很多时候
[01:47:37] 对
[01:47:38] 没办法
[01:47:39] 就或者说我的很多选择
[01:47:40] 没办法真的优化一个一个结果
[01:47:43] 啊
[01:47:44] 我觉得这是无序无序性的来源
[01:47:46] 对
[01:47:47] 那在这个这么无序的选择之中
[01:47:50] 你能把你的这个所有的研究的历程串成一条线啊
[01:47:54] 刚才其实我们已经讲了几个工作了
[01:47:56] 是的是的是的
[01:47:57] 对
[01:47:58] 我觉得那我们可以一点一点去讲吧
[01:48:00] 我觉得我觉得确实
[01:48:01] 一个好处
[01:48:02] 是我也没那么多paper
[01:48:03] 所以也许可以可以比较容易的去串一串啊
[01:48:07] 然后我觉得确实呃
[01:48:10] 我觉得不能说是这个草蛇灰线吧
[01:48:13] 但也确实有一条呃
[01:48:15] 线在背后
[01:48:16] 对直到是我一直做这件事情
[01:48:18] 或者说其实说这些论文呃
[01:48:21] 之前我想说其实计算机视觉发展了这么长时间
[01:48:25] 对吧
[01:48:26] 我有很多朋友
[01:48:27] 其实大家开始慢慢去探索新的方向
[01:48:30] 对吧
[01:48:31] 比如说去做一些啊
[01:48:34] robotics
[01:48:35] 对吧
[01:48:36] 然后做3D的视觉
[01:48:37] 啊
[01:48:38] 我其实也也在尝试向外扩展边界
[01:48:42] 但回过头来会发现这条主线上对吧
[01:48:45] 我觉得这条主线对我来说就是表征学习这件事情上
[01:48:48] 嗯啊有太多的问题没有解决
[01:48:50] 对
[01:48:51] 所以我希望停留在这条主线上
[01:48:53] 往前拓展我们所所做的事情
[01:48:55] 所以我觉得这一切的起点可能如果往前数的话
[01:48:59] 当然是涉及到地图
[01:49:00] 涉及到地图
[01:49:01] 涉及到地图
[01:49:02] 这些architecture的design
[01:49:04] 我觉得这一部分当然跟你的表征学习是有关的
[01:49:08] 嗯
[01:49:09] 然后这也是我觉得在过去大家努力的一个方向吧
[01:49:12] 也不不只是我对吧
[01:49:14] 然后所有的人大家都在做这件事情
[01:49:16] 怎么样去design一个更好的architecture
[01:49:19] 使得我们能够去学到更好的表征
[01:49:21] 使得我们能去解决更呃解决更好的解决问题
[01:49:24] 嗯
[01:49:25] 对吧
[01:49:26] 然后呃再到后面其实呃
[01:49:29] 我觉得我觉得事情就会发生一些变化
[01:49:32] 你就发现其实architecture本身不一定是最重要的
[01:49:36] 它一定很重要
[01:49:38] 但它不一定是最重要
[01:49:39] 或者说它不能不是事情的全部
[01:49:41] 所以至少有好几件不同的事情会交织在一起
[01:49:45] 对吧
[01:49:46] architecture是一个事情
[01:49:47] 就是你的架构是一回事
[01:49:49] 然后你的数据也很重要
[01:49:51] 嗯
[01:49:52] 啊
[01:49:53] 然后还有就是你的objective
[01:49:54] 你的目标也很重要
[01:49:56] 对吧
[01:49:57] 呃
[01:49:58] 这个架构决定了呃你用什么来训练
[01:50:02] 我们可以想象这件事情是你有一个巨大的引擎
[01:50:06] 然后那那你可能引擎的这个硬件其实就是一个neonatural的架构
[01:50:11] 嗯
[01:50:12] 但是你只有这样一个引擎的架构其实是没有用的
[01:50:15] 你没有油
[01:50:16] 你没办法发动它
[01:50:17] 对吧
[01:50:18] 所以呃有数据层面跟有这种objective层面
[01:50:22] 这种目标函数层面的这种考虑
[01:50:25] 然后啊
[01:50:27] 所以所以我之后的这些research其实也是按这条主线
[01:50:31] 对表征学习的主线围绕着架构数据objective
[01:50:36] 往往前走
[01:50:37] 嗯
[01:50:38] 嗯
[01:50:39] 然后啊
[01:50:40] 那其实在fair的过程中
[01:50:42] 我觉得fair这个正式工作
[01:50:45] fulltime工作的这个过程中
[01:50:46] 嗯
[01:50:47] 我觉得一个核心是呃
[01:50:49] 我跟凯明一起啊
[01:50:51] 然后凯明在立的一些这种自监督学习的这样的工作
[01:50:55] 对
[01:50:56] 然后其实again
[01:50:58] 现在大家会说这个scaling是一个是一个是已经是一个busword
[01:51:02] 就everybody is talking about scaling
[01:51:04] 嗯
[01:51:05] 对吧
[01:51:06] 但其实第一个人真正有人跟我说
[01:51:08] 我们要做scalable这样的model
[01:51:10] 就是我们需要把模型做的大大大啊
[01:51:14] 这是凯明的原话
[01:51:15] 好大大哦
[01:51:16] 对啊
[01:51:17] 是是凯明告诉我的
[01:51:19] 对哪一年告诉你呢
[01:51:20] 呃就是大概可能18年19年这个时间
[01:51:24] 对
[01:51:25] 然后所以他从一开始对这件事情的认定就是说
[01:51:28] 我们一定需要把模型变得更大
[01:51:32] 把数据变得更大
[01:51:34] 这样就能够得到一个啊
[01:51:36] 就能推演到一个更好的结果
[01:51:38] 我觉得我觉得凯明很早很早之前就有这样的一个vision
[01:51:41] 嗯
[01:51:42] 嗯
[01:51:43] 然后所以我们也在这条路上有一些努力吧
[01:51:47] 然后所以我觉得一开始大家讨论自监督学习
[01:51:51] 包括杨洛宫啊
[01:51:53] 嗯
[01:51:54] 他是一个一个一个big advocate
[01:51:56] 就是说他是他是非常在乎这个自监督学习
[01:51:59] 他有这个经典的这个蛋糕的这个analogy
[01:52:01] 这个这个比喻
[01:52:02] 对吧
[01:52:03] 就是底层是你的蛋糕的这个这个这个body
[01:52:07] 这一部分必须是soft surprise learning
[01:52:10] 在上面你可以有一个super ice learning
[01:52:12] 对吧
[01:52:13] 这一部分是他的icing on the cake
[01:52:15] 就是你蛋糕上的这些这些这些奶油吧啊
[01:52:19] 然后再往上有一个reinforcement learning
[01:52:21] 他只是cherry on top
[01:52:23] 就是上最上面的一点樱桃
[01:52:25] 嗯
[01:52:26] 啊这个蛋糕上面的每一层其实都很重要
[01:52:29] 但是他没有主次之分
[01:52:31] 嗯
[01:52:32] 如果你没有蛋糕的这个底座啊
[01:52:35] 你是没办法只靠着上面的一个cherry
[01:52:37] 能够通向这个智能的
[01:52:39] 嗯
[01:52:40] 对
[01:52:41] 所以因为我们在fair
[01:52:42] 因为我们做vision
[01:52:43] 所以其实我们很早就在关注这件事情
[01:52:46] 但这一部分research进程是这样
[01:52:49] 就是说大概在15年16年的时候
[01:52:52] 大家已经开始知道自监督学习
[01:52:55] 其实是微人的一个未来
[01:52:58] 所以那时候呃
[01:52:59] 大家会design就设计各种各样的
[01:53:02] 我们我们叫做pretext task啊
[01:53:04] 或者说它是一种代理的这种objective
[01:53:07] 代理的目标啊
[01:53:08] 就是一些代理任务吧
[01:53:10] 就是说呃
[01:53:11] 什么是自监督学习呢
