[00:00:00] 我觉得可能是有史以来最激烈的一次科技竞争
[00:24:38] 其实会变得越来越重要
[00:24:39] 就一定是需要有场景牵引的
[00:24:41] 因为这种场景定义了你的
[00:24:43] 举个例子说你的模型的尺寸
[00:24:44] 不是越大越好的
[00:24:45] 最后的模型
[00:24:46] 比如说Gemini Flash
[00:24:48] 其实也证明
[00:24:49] 其实肯定参数量越大越好
[00:24:51] 但是其实就是从应用角度的话
[00:24:53] 其实它的效率成本性能
[00:24:56] 和你真正对于某些核心领域的
[00:24:59] 这种专项优化都很重要
[00:25:01] 所以本质上是一个平衡体
[00:25:04] 就是我到底需要基于我的主场景
[00:25:07] 比如说我们在终端场景下的话
[00:25:09] 我们就要做到两点
[00:25:10] 第一点我们的基础模型的水平
[00:25:12] 一定要是世界一流的
[00:25:13] 但同时我们可能不会很纠结于
[00:25:15] 说在某一些单点的一些benchmark上
[00:25:18] 说我一定要刷到第一
[00:25:19] 而是我们更关注这个模型
[00:25:21] 从架构设计
[00:25:21] 是不是能够更适配
[00:25:23] 我未来一些端子的场景
[00:25:24] 包括它的成本和效率怎么样
[00:25:27] 所以我觉得这个理念就会很不一样
[00:25:29] 所以现在大模型公司都在讲分化
[00:25:32] 每个公司就是有不一样的bat
[00:25:34] 那接约的bat是终端
[00:25:35] 可以这么简单的说吗
[00:25:37] 我觉得应该这么讲
[00:25:39] 首先接约的bat是基模
[00:25:40] 就是首先我觉得最大的分化
[00:25:42] 是做基模和不做基模
[00:25:43] 谁不做了
[00:25:45] 反正我们做吧
[00:25:46] 就谁不做别人不知道
[00:25:47] 然后这首先是一个大的bat
[00:25:50] 这个bat
[00:25:51] 我觉得在未来三年还能坚持下来
[00:25:53] 其实是很难的
[00:25:54] 所以我觉得
[00:25:55] 所以未来三年你们一定会做基模
[00:25:56] 对
[00:25:58] 会做更大的基模
[00:25:59] 对
[00:25:59] 会探索技术边界
[00:26:00] 这个是一定的对吧
[00:26:01] 对
[00:26:01] 而且我们很有信心
[00:26:02] 我们在未来三年一定还是能够保持在世界最一流的
[00:26:07] 基模的这样一个行列当中
[00:26:09] 所以这首先是第一个bat
[00:26:10] 第二个bat就是我们的商业化
[00:26:12] 我们认为如果我们的基模往上去做场景牵引的话
[00:26:15] 我们就用终端来牵引
[00:26:17] 我们就决定这两个我们清晰的战略的路径
[00:26:21] 所以你觉得
[00:26:21] 接约跟其他人不一样
[00:26:22] 是想了一条非常独特的商业化的路
[00:26:26] 我觉得最重要的是
[00:26:27] 大模型公司都说自己要做极速大模型对吧
[00:26:29] 对
[00:26:30] 那现在看起来的不同是商业化的路径是终端
[00:26:33] 我觉得这有点像是个淘汰赛
[00:26:35] 最早其实大家讲什么大模型六小虎什么的对吧
[00:26:38] 那现在可能就没有六甲了
[00:26:40] 慢慢的大家都可能最早都抱着通往AGI的这样一个很美好的想象
[00:26:46] 后来发现这个路径很残酷
[00:26:49] 然后需要很多钱对吧
[00:26:50] 也需要你的人才密度足够对吧
[00:26:50] 也需要你的人才密度足够对吧
[00:26:51] 也需要你的人才密度足够对吧
[00:26:51] 也需要你的人才密度能支撑
[00:26:52] 所以我觉得这是一个逐渐进入决赛圈的这样一个过程
[00:26:56] 现在到哪个圈了
[00:26:57] 我感觉现在可能赛程过半吧
[00:27:01] 你觉得大模型竞赛发展到今天
[00:27:04] 它的残酷比你想象的多还是少啊
[00:27:06] 程度
[00:27:07] 比当年可能23年刚刚开始准备做接约的时候
[00:27:10] 对我觉得还是更残酷的
[00:27:13] 就是第一点我觉得速度确实比想象的更快
[00:27:15] 然后第二大家因为快
[00:27:19] 不管是因为对这件事的相信
[00:27:21] 还是因为对这件事的焦虑
[00:27:22] 其实大家在这里面
[00:27:24] 其实所的竞争强度其实都更大
[00:27:28] 甚至这个竞争强度更大
[00:27:30] 也会带来很多的泡沫对吧
[00:27:31] 就是所以这个泡沫比例比想象的要高一些
[00:27:35] 对然后第三点我自己感觉
[00:27:39] 整体大模型其实它的对资源的消耗
[00:27:44] 其实还是比想象要更大的
[00:27:46] 就是总体我觉得都是更大吧
[00:27:49] 就是更快更大
[00:27:50] 对
[00:27:51] 所以
[00:27:51] ,速度也更快
[00:27:52] 对对啊
[00:27:54] 就是这些更大都是其实都是一件事情啊
[00:27:56] 不可能说它的强度更大泡沫更小
[00:27:58] 这也不可能
[00:27:59] 在你看来泡沫的体现是什么
[00:28:02] 在我看来泡沫体现是是核心
[00:28:06] 可能很多方面吧
[00:28:07] 但一个是可能是一些公司的股价
[00:28:09] 还有一个其实是核心一些研发人员的薪酬啊
[00:28:13] 就这两个至少是两个指标吧啊
[00:28:15] 因为你经历过AI的1.0啊
[00:28:18] 到现在他们的薪酬发展多少倍啊
[00:28:21] 这1.0其实当时我们看当时最比如我们就从硬件毕业生角度
[00:28:26] 当时可能最最贵的薪酬硬件毕业生一个是在我们这一个是就AI行业
[00:28:31] 要不然可能就是去类似像当时的金融和量化这些行业
[00:28:35] 所以就本账其实就是最热的两个大的方向
[00:28:39] 那现在我总体感觉可能大概也是两两类方向
[00:28:43] 一个还是AI大模型这些方向
[00:28:45] 还有一类其实就是可能跟量化跟甚至跟一些跟金融创新相关的一些领域吧啊
[00:28:46] 还有一类其实就是可能跟量化跟甚至跟一些跟金融创新相关的一些领域吧啊
[00:28:46] 还有一类其实就是可能跟量化跟甚至跟一些跟金融创新相关的一些领域吧啊
[00:28:51] 所以具体薪资我就不说了吧
[00:28:54] 大家在网上其实也看到很多美国那边
[00:28:56] 这总体我大概感觉就是人才上基本上中国
[00:28:59] 如果一个优秀的华人同学在中国和在美国
[00:29:01] 基本就是人民币换美金这样的一个同等package的水平吧
[00:29:06] 然后我觉得可能很多薪资其实总体我就涨了5到10倍是有的
[00:29:10] XGB刚来的时候你的第一反应是什么呀
[00:29:13] 你是觉得我一定要all in了
[00:29:16] 第一感觉跟我没什么关系啊
[00:29:19] 跟你没什么关系
[00:29:20] 为什么跟你没什么关系啊
[00:29:22] 你做AI这么久
[00:29:23] 对因为我觉得我们当时还是想做vision
[00:29:27] 就想做视觉相关
[00:29:29] 所以我们是沿着我们的机器人硬件相关的
[00:29:32] 所以当时我会认为会有基模
[00:29:34] 那这些基模未来设计的人机交互的部分
[00:29:37] 最终可能会成为我们的一个组件
[00:29:40] 那这个组件我们未来谁好我们用谁就行
[00:29:42] 这是最早的想法
[00:29:44] 那后来会发现
[00:29:45] 其实最近我觉得也厌倦这个点
[00:29:49] 其实我觉得其实很少有垂类模型
[00:29:51] 就最后在AI的里面
[00:29:54] 可能都会被这个大的机座模型吸进去
[00:29:57] 所以就也不会分说我的视觉模型是一个独立的模型
[00:29:59] 我的语言是
[00:30:00] 其实所以多模态也是界约的一个核心的优势吧
[00:30:04] 就所以最后是打一桶的
[00:30:06] 所以就没有边界
[00:30:07] 所以你你不可能单独去做视觉或做物理AI
[00:30:11] 所以你这些模型最后我认为要跟最核心那个模型合在一体啊
[00:30:15] 所以大脑只有一个
[00:30:16] 你只能选择做还是不做
[00:30:18] 你当时会想大语言模型来了
[00:30:20] 把上一代AI也就是CV给颠覆了吗
[00:30:25] 我早觉得没有
[00:30:26] 因为因为我们其实在1.0这家公司
[00:30:30] 知道我们是一个非常deep learning native的
[00:30:33] 所以我们第一天就在做deep learning
[00:30:34] 所以这个技术我们包括看到
[00:30:37] 其实最早的一些大语言国内的大语言模型的一些项目
[00:30:40] 我们都有深度参与
[00:30:41] 所以我觉得我们其实一直是这个推动者
[00:30:45] 因为觉得这个技术对我们来讲
[00:30:47] 就我一直相信的一个观点是连续性
[00:30:49] 没有什么颠覆性的东西
[00:30:50] 就如果颠覆只是说你可能缺少了一些前序的信息
[00:30:55] 所以没有什么说这种颠覆感
[00:30:58] 但是它确实会量变到质别
[00:31:00] 所以就像节约函数一样
[00:31:02] 就是你在这个领域持续的累积之后
[00:31:05] 可能很多时候确实跟原来的认知是不一样
[00:31:08] 你觉得你来了以后会主导哪些新的不一样的地方
[00:31:11] 刚刚我们可能说了终端
[00:31:12] 嗯
[00:31:13] 我觉得第一个可能还是在
[00:31:15] 本身研发本身吧
[00:31:17] 对研发本身我觉得其实还是需要有更强更快的组织战斗力
[00:31:23] 这还是蛮重要的
[00:31:25] 组织战斗力怎么提高
[00:31:27] 组织战斗力我觉得可能跟组织形式还是比较相关吧
[00:31:30] 就比如说我讲一个算法工程这个单点
[00:31:32] 就算法工程这里面其实原来我们其实算法工程
[00:31:35] 其实既有一些平台化的工程体系
[00:31:38] 同时我们的每个小组其实有一些小的算法工程体系
[00:31:44] 但是其实这两个
[00:31:45] 会发现其实都不足以支撑大模型这样一个工程体系
[00:31:48] 因为在每个研究小组里面那个工程体系
[00:31:50] 其实他会发现他可能只能打打杂
[00:31:53] 就是他会去实现算法需要的一些小的工程点
[00:31:56] 而那些大工程平台
[00:31:58] 其他因为要把有些软件产品对外2B等等各这些工程都放在一起
[00:32:03] 其他也比较难去非常好去支撑
[00:32:05] 所以我们其实比如上来就设立了整合成了一个算法工程组
[00:32:09] 就这里面其实还是要能更贴近算法的体系
[00:32:12] 但是要把系统工程和算法
[00:32:14] 这些同学要融合在一起
[00:32:17] 这是工程角度
[00:32:18] 第二个其实比如讲数据
[00:32:20] 数据的话原来我们的数据是一个独立的体系
[00:32:22] 那现在这个数据的直接汇报
[00:32:24] 先汇报给了算法的相关的负责人
[00:32:26] 就因为其实未来的数据其实是决定这个模型的最本质的
[00:32:31] 其实可能占了百分之七十到八十的
[00:32:33] 那要什么样的数据
[00:32:35] 怎么样去收集这些数据
[00:32:37] 怎么去清洗这些数据
[00:32:37] 其实是一定是算法的同学要能够非常深度去参与的
[00:32:42] 那第三点比如说
[00:32:43] 如果我们最终相信
[00:32:44] 一个one model
[00:32:45] 就是一个模型去覆盖所有的场景和领域
[00:32:49] 那其实它会要去拆解成可能很多很多的应用场景
[00:32:52] 比如说这可能是偏文本创作类的
[00:32:55] 这个可能是偏动物态生存的
[00:32:57] 这个是偏比如说陪伴类的
[00:32:59] 这些体系到底这些1加n的这些n
[00:33:02] 跟这个1之间怎么能够有个好的协同关系等等
[00:33:05] 这些我觉得都需要有好的组织来去协同
[00:33:09] 但最最关键我觉得需要有更多优秀的人才
[00:33:12] 所以我觉得也希望节约能够吸纳更多
[00:33:14] 更好
[00:33:14] 好的人才进来大家
[00:33:16] 因为我觉得节约其实不管是对AGI的坚定程度
[00:33:19] 还是对于商业化的
[00:33:21] 我觉得至少这个想得清楚的程度吧
[00:33:24] 我们都在大模型公司里我觉得还是很出众的
[00:33:27] 所以我觉得也相信它能够吸引到更多最顶级的人才
[00:33:31] 那如果是硬件开始要牵引模型
[00:33:33] 那硬件这个range就很广了
[00:33:35] 你们会第一款硬件选什么呢
[00:33:38] 前几款硬件选什么呢
[00:33:40] 我们第一个场景现在肯定还是在用车来牵引
[00:33:42] 所以就我们不管是我们
[00:33:44] 制驾里面其实刚刚讲到用真正的制驾里面的
[00:33:48] 不管是VLA的模型多模态的模型还是世界模型
[00:33:51] 这些的基模都源于骑士千里跟节约的合作
[00:33:55] 所以这个其实是我们第一个场景
[00:33:58] 而车的第二个场景是座舱
[00:33:59] 座舱其实是一个非常好的空间的人机交互场景
[00:34:03] 其实大家可能也看到像特斯拉里面像Grok也上了车
[00:34:06] 所以这些大模型在车里面做一个超级助手
[00:34:09] 其实甚至我觉得比手机更顺
[00:34:12] 那这两个车场景我觉得现在已经在落地了
[00:34:14] 可以落地的比较近的
[00:34:17] 对对对
[00:34:18] 那后面我们其实还是希望能够在一些
[00:34:20] 譬如说手持和穿戴式的设备上来做这个创新
[00:34:24] 这个品类一定不会是直接是一个手机
[00:34:28] 而是一些创新品类
[00:34:29] 我听说你们有一个联合项目
[00:34:31] 就是会把很多不同的数据都迅到大脑里去
[00:34:35] 就包括支架的数据
[00:34:36] 机器人的数据和互联网这种软件上的数据
[00:34:40] 一起迅到一个大脑
[00:34:42] 这是你们最后的那个大脑的构想吗
[00:34:44] 你对这个大脑是怎么想的
[00:34:45] 我觉得我们认为一定是数字空间的数据和物理空间的数据
[00:34:49] 都融合在一个模型里
[00:34:51] 其实这里面
[00:34:52] 其实Google的相关的像Demis这些人也都有讲过
[00:34:56] 就是这点我们是也是有共同的一些belief吧
[00:35:01] 就是你会发现一个语言模型
[00:35:03] 看似它能解非常
[00:35:04] 比如能解数学国际竞赛的题
[00:35:06] 但你会发现它在一些基础的物理逻辑上都会出错
[00:35:09] 所以代表就是在真正对物理世界感知和逻辑认知角度
[00:35:13] 这些是缺很大的
[00:35:14] 内容的
[00:35:15] 所以这是为什么物理数据很重要
[00:35:17] 但是物理数据才能讲是缺乏的
[00:35:19] 不像互联网发展30年
[00:35:21] 尤其是继续人数据
[00:35:22] 对
[00:35:23] 就是我自己的一个大的感觉就是说
[00:35:26] 如果我们把物理空间的数据
[00:35:27] 因为人眼的数据
[00:35:29] 其实你可以理解为是一个连续的视频流
[00:35:32] 那比如像其实质架这个大的场景
[00:35:35] 其实已经解决了很多偏大尺度的
[00:35:38] 就是室外空间的这样的物理数据
[00:35:40] 那现在其实可能很缺的
[00:35:42] 其实是更室内的更精细化
[00:35:44] 比较强烈的一个设计
[00:35:46] 所以这个数据可能会来自于两个部分
[00:35:48] 要不然是来自于未来的
[00:35:50] 真正能够规模化上量的一些巨声的一些平台收集的数据
[00:35:54] 还有一种是可能来自于人的穿戴式
[00:35:56] 比如说你的眼睛和你的穿戴式
[00:35:58] 这里面如果能够感知你周围的数据
[00:36:00] 这些数据也是连续的多传感情网络的这样的数据
[00:36:04] 这些数据其实最终它会跟这个产品本身形成一个迭代
[00:36:08] 就是你的产品得体验越来越好
[00:36:10] 量越来越大
[00:36:11] 它收集的数据会越来越多
[00:36:12] 所以整个物理空间的数据的收集和注入
[00:36:15] 还是需要有一个比较中长度的时间
[00:36:17] 我觉得5到7年的时间
[00:36:19] 5到7年
[00:36:20] 这里面最难的应该就是机器人数据
[00:36:23] 对 最难的点是机器人本质从它的构型的定义
[00:36:26] 传感器的定义
[00:36:28] 这些都还非常开放
[00:36:29] 包括它的模型都没有到这个
[00:36:32] 我们如果按GPT3.5作为一个临界点的话
[00:36:35] 现在可能是在GPT1 GPT2的水平
[00:36:38] 所以我觉得巨声还是有点
[00:36:41] 有点
[00:36:42] 有点
[00:36:42] 有点
[00:36:42] 有点
[00:36:42] early hit
[00:36:43] 就是说过早的热起来
[00:36:45] 但是我觉得当然这也会推动它更快速的发展
[00:36:48] 我觉得同时拥有这几类数据的公司非常少
[00:36:52] 但小米肯定是一家
[00:36:54] 你怎么看小米这个竞争对手
[00:36:57] 为什么就是你们作为一个创业公司
[00:36:59] 能够去做这件事情呢
[00:37:00] 我觉得小米这些都不是我们决定的
[00:37:02] 这些都是跟我们体量完全不带一个量体
[00:37:04] 我其实刚才讲的做硬件的核心是因为
[00:37:07] 做新的硬件是因为它是一个比较分散的市场
[00:37:10] 就它不能够垄断
[00:37:11] 它有很多品类
[00:37:13] 所以我觉得我们
[00:37:14] 其实不管是跟小米
[00:37:16] 字节
[00:37:17] 包括华为
[00:37:18] 这些都是中国最优秀的科技公司
[00:37:20] 我觉得我们现在完全谈不上竞争
[00:37:23] 我觉得我们更多还是认为自己能在一些领域里
[00:37:25] 能够把自己的技术做好
[00:37:27] 商业能闭环
[00:37:27] 所以我觉得小米当然是
[00:37:30] AI跟终端可能最重要的
[00:37:33] 一个核心的一个玩家
[00:37:35] 我觉得从软的背景角度
[00:37:37] 最强的就是字节
[00:37:38] 从硬件出发的话
[00:37:40] 我觉得可能最强的是
[00:37:41] 小米
[00:37:41] 小米跟华为
[00:37:42] 所以你们是模型及硬件产品
[00:37:44] 对
[00:37:45] 算是这样吧
[00:37:46] 那有没有可能硬件产品不需要那么大的模型呢
[00:37:48] 不会的
[00:37:49] 就是当你跟一个聪明人打交道多的话
[00:37:51] 你是不想跟一个
[00:37:52] 这个笨的模型打交道的
[00:37:55] 所以我觉得模型一定是
[00:37:57] one takes all的
[00:37:58] 就是你的模型的智能性往上之后
[00:38:00] 我觉得几乎所有的应用都会用那个最强的模型
[00:38:02] 你现在投入到接月一周有多少时间
[00:38:04] 投入到千里一周有多少时间
[00:38:06] 我觉得很多事是融合的
[00:38:08] 所以不用特别强调两边怎么划分
[00:38:11] 但我觉得
[00:38:11] 我刚才其实讲到
[00:38:13] 比如说其实整个这个大战略是AI跟终端的结合
[00:38:16] 所以其实在模型上
[00:38:19] 我们刚讲
[00:38:20] 比如说我们的模型应用到车这个场景
[00:38:22] 我觉得就是接月跟千里两边
[00:38:24] 最重要的结合的这些点
[00:38:26] 你和大新他们是怎么分工的
[00:38:30] 就是接月星辰的CEO
[00:38:31] 大新就是CEO
[00:38:32] 董事长和CEO是怎么分工的
[00:38:34] 我自己感觉可能这个
[00:38:36] 可能我更多是会抓一些专项
[00:38:39] 就是比如说我们刚才讲到
[00:38:41] 其实大新还是综合来管节约的
[00:38:44] 所以日常的这些运营还是被大新来管
[00:38:47] 但是我觉得比如说刚才讲的
[00:38:49] 这个基模这件事情的一些组织变革
[00:38:52] 和一些技术上的一些攻坚
[00:38:53] 可能就我会跟大新一起来管
[00:38:54] 然后一些中端商业化角度
[00:38:57] 可能我会管得更多一点
[00:38:58] 你2026年核心要攻坚的专项是什么
[00:39:01] 第一点就是我们的
[00:39:03] 接下来大家会看到我们一系列的模型
[00:39:06] 从3.5到4
[00:39:07] 我觉得首先我们还是把基模
[00:39:09] 因为原来我们做动模态比较多
[00:39:11] 我们其实是希望我们从语言模型角度
[00:39:14] 我觉得大家还是能看到我们的语言模型
[00:39:16] 要做到世界一流水平
[00:39:18] 为什么现在要提语言模型的水平
[00:39:20] 因为我们其实认为几个判断
[00:39:24] 就我们自己在模型测
[00:39:25] 我觉得我们有三个关键词
[00:39:27] 就第一个我觉得从基模角度的话
[00:39:30] 就基模基本上means everything
[00:39:32] 就是基本上你不管是什么样的模态的模型
[00:39:35] 其实都需要基模的核心智力的水平
[00:39:37] 所以基模我觉得还是最重要的
[00:39:41] 实际模样也是一个我们
[00:39:44] 展示技术能力的一个点
[00:39:47] 第二个叫全模态
[00:39:48] 就是我们认为动模态一直是我们差异化
[00:39:50] 我们全模态其实包含文字 语音 图像
[00:39:54] 这三个模态其实我们认为在
[00:39:55] 基本上未来所有的模型上一定是全模态的
[00:39:57] 因为你要做人机交互
[00:39:59] 要做很综合的感知
[00:40:00] 不管是数字空间还是物理空间
[00:40:02] 都需要全模态
[00:40:04] 第三个关键词我们叫VLA
[00:40:06] 其实你刚才也讲到
[00:40:06] 我们其实想把车的 机器人的
[00:40:09] 甚至未来手机的很多的这些模型的模型
[00:40:11] 这些终端的数据
[00:40:13] 这终端里面就会有很多运动型部件
[00:40:15] 或者有很多要执行器件
[00:40:18] 那就是所谓的那个Action的一部分
[00:40:21] 所以VLA我们也会成为我们
[00:40:23] 进入模型里很重要的差异化
[00:40:25] 所以这三个我觉得
[00:40:28] 可能是我们认为我们的模型
[00:40:30] 未来的一个核心定位吧
[00:40:31] 你觉得这个方向和现在的大模型公司
[00:40:33] 或者大厂做模型的不同是什么
[00:40:38] 现在大家是不是都趋同了
[00:40:39] 对于模型未来的方向
[00:40:40] 对 现在没什么
[00:40:41] 大家没什么差别
[00:40:43] 中国的大模型基本上都在
[00:40:46] 大厂当然各自
[00:40:47] 比如字节是有一些自己的判断
[00:40:49] 其他公司基本都在卷编程这件事情
[00:40:52] 编程我觉得从两个角度看
[00:40:53] 编程首先从提升它的智能上限
[00:40:56] 是有价值的
[00:40:58] 因为我们现在刚讲到学习范式角度
[00:40:59] 我们现在是从模仿学习到强化学习
[00:41:02] 而编程这个环境
[00:41:04] 是一个最好的强化学习环境
[00:41:06] 因为你想编程是一个有结果的
[00:41:07] 它能够判断对错
[00:41:09] 而且又很复杂的这样一个场景
[00:41:11] 所以如果把编程当成最好的
[00:41:13] 强化学习的这样一个垂类
[00:41:15] 我觉得是很好的
[00:41:17] 但编程本身我自己感觉在
[00:41:19] 商业化角度价值非常有限
[00:41:21] 有限的意思是说它本身价值非常高
[00:41:23] 但跟这些新公司没什么关系
[00:41:26] 为什么
[00:41:27] 你觉得谁能受钱
[00:41:29] 我觉得中国可能都受不了钱
[00:41:31] 就是因为大厂首先这块做得也不错
[00:41:33] 然后这边从开源角度有DeepSeek
[00:41:36] 相当于它是一个水位很高的
[00:41:38] 一个开源的体系
[00:41:39] 大厂本身又会把
[00:41:41] 中国的大厂的竞争非常的激进
[00:41:44] 然后所以它也会把价格压得很低
[00:41:47] 同时编程这件事情
[00:41:48] 其实它也会跟它的商业有环境很相关
[00:41:51] 所以编程这个赛道
[00:41:52] 就跟ChadBot这个赛道一样
[00:41:54] 这个新公司碰都没有任何意义
[00:41:57] ChadBot也很绝望是吗
[00:41:58] 在你看来
[00:41:59] 最后是多包的天下
[00:42:00] 多包元宝之类的
[00:42:02] 对 但坦真讲我觉得ChadBot
[00:42:04] 可能不是一个特别本质的
[00:42:07] 长期的AI的这个产品形态
[00:42:10] 为什么
[00:42:11] 我觉得它的交互很不自然
[00:42:16] 它是一个ChadBot是一个阶段性的成果
[00:42:20] 甚至我都觉得它可能不是
[00:42:22] 搜索那样级别的东西
[00:42:24] 它只是模型的一个
[00:42:26] 如果你要问OpenAI的人
[00:42:27] 他当年读ChadGPT
[00:42:29] 可能更多觉得它是一个很好的demo
[00:42:31] 对吧
[00:42:32] 所以其实如何用AI的大模型去取代搜索
[00:42:36] 这是一个确定性的事情
[00:42:38] 但是它的产品形态是什么样子
[00:42:39] 我觉得现在
[00:42:40] 还并不是很明朗
[00:42:41] 你觉得不是ChadGPT
[00:42:44] 我觉得不是
[00:42:45] 就是我们说是不是是说它往后看
[00:42:48] 比如看五年
[00:42:50] 它是不是还是那最主线形态
[00:42:51] 我觉得不是
[00:42:52] 是什么我也不知道
[00:42:53] 但只是我觉得其实是不是一个最自然的产品体系
[00:42:57] 你觉得ChadGPT今天有足够稳固的护城河了吗
[00:43:01] ChadGPT本账是个C端的超级应用
[00:43:04] 它是你看它的从不管从日活到月活都非常大
[00:43:08] 它是一个阶段性的产品还是一个长期的产品
[00:43:08] 它是一个阶段性的产品还是一个长期的产品
[00:43:08] 它是一个阶段性的产品还是一个长期的产品
[00:43:08] 它是一个阶段性的产品还是一个长期的产品
[00:43:11] 我觉得在境外可能是
[00:43:14] 但是并不稳固
[00:43:16] 最近看Gimli整个的日活起得非常快
[00:43:20] 所以我觉得都还在过程中
[00:43:23] 现在没有谁有特别大壁垒
[00:43:25] 但你觉得ChadGPT不是一个中级的产品形态
[00:43:28] 它是一个过渡性的
[00:43:30] 对
[00:43:31] 这里面是从两类
[00:43:32] 一个是从人际交互的方式
[00:43:34] 就是它还是
[00:43:36] 云更自然
[00:43:37] 对
[00:43:38] 对 云可能更自然
[00:43:38] 或者说你在一个对话框里
[00:43:41] 当你打开一个应用上来是对话框
[00:43:43] 就是比较举个例子
[00:43:45] 其实在AIGC
[00:43:47] 我们其实包括豆包
[00:43:48] 其实AIGC尝试放了很多
[00:43:50] AIGC放到这个聊天的对话框里
[00:43:53] 从数据看都不是很成功
[00:43:54] 是因为你觉得你在一个对话框里
[00:43:57] 去把AIGC的这些能力放进去
[00:43:59] 你会觉得交互上很不自然
[00:44:01] 所以我觉得可能产品还在演进
[00:44:04] 但你们不会去follow这个2C的软件这条线对吧
[00:44:08] 你们尝试过2C的这些产品
[00:44:11] 像猫猫鸭
[00:44:12] 嗯
[00:44:13] 你们未来还会做这个吗
[00:44:15] 我们不会独立做一个C端的应用
[00:44:17] 纯软件
[00:44:18] 如果我们做的这个软件
[00:44:19] 一定是跟我的硬件做配套
[00:44:21] 所以你们做了
[00:44:23] 其实做了战略取舍
[00:44:24] 现在你们要以硬件为主
[00:44:26] 我就是软硬结合
[00:44:27] 就是因为
[00:44:28] 因为最终用户用的肯定都是软件
[00:44:30] 对
[00:44:30] 这个决定是在什么时候做的
[00:44:33] 我从第一天就这么想
[00:44:34] 第一天就想软硬结合
[00:44:35] 对
[00:44:36] 因为最终你做商业其实还是说
[00:44:38] 你的差异化在哪里
[00:44:40] 就是因为在AI的领域里面
[00:44:42] 我们其实过去这十来年
[00:44:43] 是一直在做软硬结合的产品
[00:44:46] 然后软硬结合也是我们的兴趣所在
[00:44:49] 所以我觉得最终
[00:44:50] 核心还是是做我们想做和能做的东西
[00:44:54] 所以我觉得可能创业
[00:44:56] 还是特别在大模型这个体现
[00:44:57] 是需要有一些自己的独立判断
[00:45:00] 对
[00:45:01] 这个说的是接约这条线
[00:45:03] 然后你还有千里的这条线
[00:45:04] 就是我第一次看到你入主千里的新闻的时候
[00:45:07] 我在想为什么
[00:45:08] 哎
[00:45:08] 这场战争好像你打了很久了
[00:45:10] 可能都快结束了
[00:45:11] 你怎么才来
[00:45:11] 对
[00:45:14] 我自己其实千里这场仗
[00:45:16] 是可能我们第一次打后发
[00:45:18] 原来我们真的都是
[00:45:19] 先发
[00:45:20] 先发对吧
[00:45:21] 你们都做得很快以前对吧
[00:45:23] 对
[00:45:23] 都是从先发的理念
[00:45:25] 其实是从一个技术出发
[00:45:27] 然后技术上去
[00:45:28] 其实是一个推的模式
[00:45:30] 从技术的原技术创新
[00:45:32] 再去找场景
[00:45:33] 就拿着锤子找钉子这个场景
[00:45:34] 对
[00:45:35] 这个我觉得可能还是要
[00:45:37] 是要持续去做一些技术
[00:45:40] 技术上还是要持续做引领的
[00:45:42] 但是我觉得其实像质架这个场景
[00:45:44] 其实经历了可能十多年快二十年的时间
[00:45:46] 我觉得其实原来
[00:45:48] 其实反而是从商业模式到技术路径都不明晰
[00:45:51] 比如说在技术路径上
[00:45:53] 但我不知道今天是不是还有人有质疑
[00:45:55] 但是其实我觉得是很清晰的
[00:45:57] 其实还是以模型驱动的这条路径
[00:45:59] 就大家所谓的特斯拉路径
[00:46:00] 在上面当然会叠加一些新的传感器
[00:46:03] 叠加一些产品的设计
[00:46:04] 那这条路径已经我觉得比较清晰了
[00:46:07] 但是呢
[00:46:07] 其实之前其实有很多不同的赛道
[00:46:10] 包括原来最早就是威模跟特斯拉这两条路线
[00:46:13] 当然这里面其实是过去
[00:46:14] 这已经基本比较融合了
[00:46:16] 就是很多底层还是以模型为驱动
[00:46:18] 而且这个模型
[00:46:20] 其实跟整个大模型的圆模型也做了融合
[00:46:22] 就是所以AI最后的大脑部分
[00:46:24] 其实在走向统一的
[00:46:26] 所以技术上其实我觉得做了很多轮迭代
[00:46:30] 所以原来的技术的很多东西
[00:46:32] 不能说完全没有积累
[00:46:33] 但是很多会被颠覆掉
[00:46:35] 就因为它的原来的技术的技术战
[00:46:37] 包括数据
[00:46:38] 其实很多东西都是不可用的
[00:46:40] 第二点其实是设计了商业模式
[00:46:42] 因为整个自驾自舱Robotaxi
[00:46:45] 本质还是在整个新能源车这个行业里
[00:46:47] 新能源车本身它在OEM主机厂
[00:46:50] 和它的商业模式上
[00:46:51] 其实做了很多很多演进
[00:46:52] 所以我自己感觉这个时候下场
[00:46:55] 其实是我们看到
[00:46:56] 还是是一个很好的机会
[00:46:58] 也可能是一个最后的窗口期
[00:47:00] 最后的窗口期
[00:47:02] 这场战争还会持续多久
[00:47:04] 我觉得三年吧
[00:47:05] 三年
[00:47:05] 第一次打后发感觉怎么样
[00:47:07] 感觉挺好的
[00:47:08] 为啥
[00:47:09] 因为后发其实
[00:47:10] 打先发其实很多时候
[00:47:13] 是更多在一些更宏观和战略层面
[00:47:16] 其实你很多时候很难细化
[00:47:17] 因为你的很多边界条件不明朗
[00:47:20] 所以更多就是摸着石头过河
[00:47:22] 可能基于技术的判断力相对好一点
[00:47:25] 或者在一些商业上的一些取舍
[00:47:27] 适当或者运气再好一点
[00:47:28] 可能能够有一些好的结果
[00:47:30] 但是可控性没有那么强
