[00:00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:00:30] 一位00后的华人女孩 名字叫洪乐彤
[00:00:33] 她的探索方向是AF4Net
[01:06:50] 就是乔哲轩老师有
[01:06:51] 很
[01:06:52] 很多的
[01:06:53] 呃
[01:06:53] 不管是
[01:06:54] 呃
[01:06:55] 播客还是
[01:06:55] 就是写的博客
[01:06:57] 呃
[01:06:57] 就讲这个形式化证明
[01:06:59] 然后我身边的
[01:07:01] 就是Kenny
[01:07:02] 他
[01:07:02] 我
[01:07:02] 我知道他有多对这个令进行狂热
[01:07:04] 他现在也在AXIOM前职
[01:07:06] 所以就是
[01:07:07] 好多好朋友们
[01:07:08] 大家现在就是慢慢的聚到了一起
[01:07:10] 就是希望能做
[01:07:11] 能做这件事情
[01:07:12] 我当时看到的一个事情就是
[01:07:14] 呃
[01:07:16] 一切我们认为的不可能
[01:07:18] 都有可能
[01:07:19] 然后如果是这样的话
[01:07:22] 对我个人意义最大的
[01:07:24] 就是让AI能够帮助我
[01:07:27] 进行一些数学证明
[01:07:28] 尤其
[01:07:29] 我不是天赋型选手
[01:07:31] 我有些时候
[01:07:32] 真的是花
[01:07:33] 某种程度上
[01:07:34] 你说AI能够帮助最大的是谁
[01:07:36] 是那些蛮力性数学家
[01:07:38] 就我
[01:07:39] 就我可能
[01:07:39] 真的就是我要没举多少个可能性
[01:07:42] 我要经历
[01:07:43] 呃多少天去验证一个非常
[01:07:46] 呃
[01:07:46] 可能是一个standard argument
[01:07:48] 一个标准的一种
[01:07:50] 一种一种一种一种证明方式
[01:07:53] 我按照按照那个比对
[01:07:55] 我记得当时
[01:07:56] 呃
[01:07:57] 就有一个一个事情
[01:07:58] 就是Ben Green老师有一篇文章叫
[01:08:00] Sharkozy theorem for shifted primes
[01:08:02] 他讲的就是说
[01:08:03] 我有一个集合
[01:08:05] 我要保证这个里面的集合的
[01:08:07] A和B两个元素中间的这个差值
[01:08:09] 就是A-B
[01:08:10] 它不是P加1或P减1
[01:08:13] P是一个素数
[01:08:14] 然后我能够就是呃
[01:08:16] 从1到N中数出多少个这样的差值
[01:08:17] 然后我能够就是呃
[01:08:17] 从1到N中数出多少个这样的差值
[01:08:18] 然后我能够就是呃
[01:08:18] 一个一个一个多大的一个集合
[01:08:21] 然后我当时就
[01:08:22] 我看到那篇文章
[01:08:24] 我想这个东西能够被证明多少的数学问题
[01:08:28] 就同样的这一套machinery
[01:08:29] 就是Ben Green老师的这一套
[01:08:31] 这一套发明或者是发现
[01:08:33] 你可以把它去做function field
[01:08:35] 你可以把它去做
[01:08:36] 呃
[01:08:37] 当然说做shifted sum of two squares
[01:08:39] 没有特别大的意义
[01:08:40] 可以做X方加Y方加减1
[01:08:42] 这个没有特别大的
[01:08:43] 不知道有没有特别大的意义
[01:08:45] 反正就是
[01:08:45] 这一套的东西是工具
[01:08:47] 是可以用来
[01:08:48] 做很多的事情的
[01:08:50] AI应该把它完全解决
[01:08:52] AI应该能够达到一个
[01:08:54] 一个很熟练运用所有davenport里面
[01:08:58] 数论的呃工具技巧的一个博士生的程度
[01:09:02] 我当时觉得这一件事
[01:09:03] 这个事情一定能做
[01:09:04] 然后我就开始想怎么能做这件事情
[01:09:07] 就要算力
[01:09:09] 就要我要想我有多少的
[01:09:10] 这是哪一年
[01:09:12] 2024
[01:09:14] 2024年
[01:09:14] 2022年
[01:09:15] 就是你跟Shubo平凡的进入咖啡
[01:09:17] 出入咖啡馆那一年
[01:09:18] 就是2024年
[01:09:19] OK
[01:09:19] 20222023年9月份到2025年的12月份
[01:09:29] 去年12月份
[01:09:31] 不2024年的12月
[01:09:32] OK
[01:09:32] 对
[01:09:34] 就差不多
[01:09:35] 因为我当时还在我第一年
[01:09:36] 其实我大部分的时间
[01:09:38] 就是呃
[01:09:39] 我在作为一个法学生的时候
[01:09:41] I had a lot of fun
[01:09:42] 就是我我每一天就是感觉特别的特别的神奇
[01:09:45] 我我从来没有任何的呃
[01:09:48] 就是作业是让我去阅读的
[01:09:50] 阅读这30页
[01:09:51] 这就是你的作业
[01:09:52] 我我的我的本科是一个工程学校
[01:09:54] 一个MIT是一个理工科学校
[01:09:56] 我不是一个文理
[01:09:57] 我没有接受过一个Liberal Arts的education
[01:10:00] 哦
[01:10:00] 嗯
[01:10:01] 所以我就非常非常希望能够多读点书
[01:10:03] 然后我可以我我还想练练英文写作
[01:10:05] 我当时觉得我都可以去
[01:10:06] 所以我那一年就是但是
[01:10:08] 就是第一次吧
[01:10:10] 可能科学数学它不在你的生活之中
[01:10:12] 就有点想念
[01:10:13] 然后就是我想念的时候
[01:10:15] 我就跑到那个咖啡馆去
[01:10:16] 我坐那个笑吧
[01:10:17] 当时
[01:10:18] 没有钱
[01:10:19] 当时是是特别就是一穷二白
[01:10:21] 打不起Uber
[01:10:22] 然后从这个呃
[01:10:24] 这个这个斯坦福就是做8分钟的一个
[01:10:27] 做你要走20分钟
[01:10:28] 你走20分钟到这个大草坪
[01:10:31] 你到了大草坪
[01:10:32] 你就可以做一个就是笑吧
[01:10:33] 做笑吧8到9分钟
[01:10:35] 你就到了这个火车站
[01:10:36] 这火车站穿越一个隧道里面
[01:10:38] 有一些流浪汉住在这个隧道里面
[01:10:40] 你就可以到这一个worth的咖啡馆
[01:10:42] 舒否就在那里
[01:10:43] 你就可以去跟他聊这个科技与科学
[01:10:45] 哦
[01:10:46] 他那当时已经在麦塔上班了
[01:10:47] 他一直
[01:10:48] 都在他是在meta是八八九年的一个meta的一个元老
[01:10:52] 他是呃meta的facebook ai research的director
[01:10:57] 就是他当时跟呃他当时跟田元栋老师差不多时候进去的
[01:11:02] 就是可能还比田元栋老师早一些
[01:11:03] 那你你们怎么成为朋友的呀
[01:11:05] 我也不知道他是谁
[01:11:07] 他也不知道我是谁
[01:11:08] 那你怎么认识的呢
[01:11:09] 我们就在这个咖啡馆的这个桌子
[01:11:11] 就是我一开始当那写作业
[01:11:12] 我一开始当那就是我有30页的阅读
[01:11:15] 每堂课有30页的阅读
[01:11:16] 我就抱着这个
[01:11:17] 这么大的这个法律书
[01:11:19] 我就抱着这三三个法律书
[01:11:20] 我就我就我就去去
[01:11:22] 其实其实挺就是非常不不不不明智的一个选择
[01:11:26] 你有那么厚的书
[01:11:26] 你抱着他们去做小吧
[01:11:28] 但当时就是喜欢
[01:11:29] 那你为什么一定要去那里去做作业
[01:11:31] 在palo auto downtown
[01:11:32] 哦
[01:11:33] 就是我可能我们这个法学院的图书馆
[01:11:36] 就是一般周一到周五待的有点闷
[01:11:39] 我说实话就是
[01:11:40] 他有地毯
[01:11:41] 然后有点密不透风
[01:11:43] 就环境你周末你就是想放松一下心情
[01:11:46] 对
[01:11:46] 然后
[01:11:47] 昂我记得这个Verve咖啡馆的一个点
[01:11:49] 他那个庭院有很多狗
[01:11:50] 对
[01:11:51] 然后他只有周末有狗
[01:11:53] 就是他周周中的时候
[01:11:55] 那些狗的主人可能没有时间带他们遛狗
[01:11:57] 我我当时一开始去那里的motivation
[01:12:00] 就我可以读书
[01:12:01] 我可以喝这个
[01:12:02] 我会点一杯抹茶
[01:12:03] 然后我就可以看狗
[01:12:05] 这是我的一个我的我的快乐
[01:12:06] 就是就是读读法律案例
[01:12:08] 做笔记
[01:12:09] 看狗喝抹茶
[01:12:10] 然后然后就是时间一多
[01:12:13] 就总是我和发现我
[01:12:14] 然后然后就有这么一个
[01:12:16] 每一次
[01:12:17] 看的感觉非常面熟的一个人
[01:12:18] 然后我们一开始聊起来了
[01:12:20] 哦
[01:12:21] 是在里面还是外面
[01:12:22] 因为他有一个区
[01:12:23] 外面一个区
[01:12:24] 在里面
[01:12:24] 你们可能共同坐在一个长桌上
[01:12:26] 对一个一个六个人的桌子
[01:12:28] 然后唯一的一个六人桌子
[01:12:30] 这个六个人桌子里面
[01:12:31] 其他人也永远都在那里
[01:12:33] 哦
[01:12:34] 对哦
[01:12:34] 成了一个常客
[01:12:36] 对
[01:12:36] 谁开始先聊天的
[01:12:39] 应该是一个就是没人打算聊天
[01:12:42] 好像是他坐在窗边
[01:12:44] 然后那个太阳特别晒
[01:12:45] 然后我需要那个窗帘拉起来
[01:12:47] 就这么说上话了
[01:12:48] 哦
[01:12:48] 然后呢
[01:12:49] 然后接着就怎么我就说
[01:12:51] 我就我就我就我就来非常谢谢你
[01:12:53] 就是拉这个窗帘
[01:12:55] 然后他就说我经常看到你
[01:12:57] 然后我就说是我也经常看到你
[01:12:59] 然后一个谈话就开始了
[01:13:00] 嗯
[01:13:01] 然后那怎么聊的数学的呢
[01:13:03] 发现他有他学过数学
[01:13:04] 他的本科是数学
[01:13:05] 他的硕士也是数学
[01:13:07] 然后他后面他好像还读了两个数学的硕士
[01:13:10] 我印象记得不是特别轻
[01:13:11] 反正就是然后我的那个呃
[01:13:14] 就是他就很好奇我就是他觉得我应该是数学的硕士
[01:13:15] 反正就是然后我的那个呃就是他就很好奇我就是他觉得我应该是数学的硕士
[01:13:15] 就是他觉得我应该是个法律学生
[01:13:18] 因为我有这个书
[01:13:19] 然后我们就聊这个
[01:13:21] 我当时可能我不知道我在看哪一块呢
[01:13:24] 我反正就讲这个这个案例
[01:13:26] 这是非常的离奇
[01:13:27] 然后就反正两个人就开始做朋友吧
[01:13:29] 就是我觉得还是感觉这个21世纪
[01:13:31] 就是有很多事情就是在互联网上
[01:13:33] 大家不太到一个咖啡店
[01:13:34] 咖啡馆去聊天
[01:13:36] 嗯
[01:13:38] 你聊了多久
[01:13:39] 我们聊了就是我们一两年
[01:13:41] 我们是朋友
[01:13:42] 我们不知道对方在哪
[01:13:43] 他不知道你
[01:13:45] 他知道我是
[01:13:47] 但他不知道
[01:13:49] 他可能知道我是
[01:13:50] 法学院数学
[01:13:52] 但他不知道我
[01:13:53] 他可能不知道我有一个数学研究背景
[01:13:56] 就是他可能
[01:13:58] 他好像听说过摩根奖
[01:14:00] 他听说摩根奖可能是因为
[01:14:02] 有很多摩根奖的同学转入了AI
[01:14:04] 比如说
[01:14:05] 就是
[01:14:09] 然后
[01:14:11] 他不知道
[01:14:13] 我也不是一个什么人物
[01:14:15] 他不知道
[01:14:15] 也没关系
[01:14:16] 但是我我是真不知道他是一个这么厉害的一个一个人
[01:14:20] 你知道他在买他吗
[01:14:21] 他现在就是你知道他在买他们
[01:14:23] 我当时不知道
[01:14:24] 我一直不知道他在买他
[01:14:25] 后来你们是怎么开始决定要创业的呢
[01:14:28] 就是在你们这种漫无目的的认识
[01:14:30] 漫无目的的认识和聊天
[01:14:32] 对
[01:14:32] 对
[01:14:33] 我有一天
[01:14:34] 你们这种谈话持续了多久
[01:14:37] 持续了
[01:14:38] 一年半
[01:14:40] 聊什么呢
[01:14:41] 这一年半
[01:14:42] 聊科学历史
[01:14:44] 哦
[01:14:44] 哦
[01:14:45] ,对
[01:14:46] 然后就
[01:14:47] 有一天我印象是秋天
[01:14:50] 2024年的秋天
[01:14:51] 那个时候我刚开始那个数学的PhD
[01:14:53] 但我当时很多的时间其实在给XTX去做一些工作
[01:14:58] 就是XTX是一个
[01:15:00] 一个一个量化金融的一个
[01:15:03] 我暑假就是后半段在那里
[01:15:06] 然后我
[01:15:06] 我当时就觉得
[01:15:08] 我在那里就是觉得
[01:15:10] 天哪
[01:15:11] 这个AI更有更有意思了
[01:15:12] 就是你
[01:15:13] XTX有卡呀
[01:15:14] 对吧
[01:15:15] 他
[01:15:15] 他有卡
[01:15:16] 所以你能做的事情就比你在盖茨比做的事情多很多
[01:15:20] 所以就当时觉得
[01:15:21] AI很有意思
[01:15:23] 然后回来
[01:15:23] 然后就
[01:15:24] 我有一天我就跟
[01:15:26] 我是去跑步
[01:15:27] 我就是晨跑
[01:15:28] 然后跑完之后
[01:15:29] 我不知道为什么
[01:15:30] 我就觉得好像这个事情真的要真的要发生
[01:15:33] 然后我就去找舒柏
[01:15:34] 我说这个事情大概如果我想融资要融多少钱呢
[01:15:39] 然后我们两个人在那算
[01:15:40] 我们算就是多少张卡
[01:15:42] 然后也在问
[01:15:43] 就在问
[01:15:44] 就拿了张那个餐巾
[01:15:45] 餐巾
[01:15:45] 餐巾纸在那算
[01:15:46] 然后我们就说
[01:15:47] 好像这个事情还是得做一个创业公司
[01:15:49] 就是没有可能在学界去做
[01:15:51] 那我那一个学期在做XTX
[01:15:54] 我疯狂地往CS的那里跑
[01:15:55] 有一个CS
[01:15:56] 斯坦福CS
[01:15:58] 我觉得最好的一门课
[01:15:59] 是一个叫做
[01:16:00] 就是First Year PhD Seminar
[01:16:01] 每一个教授为了就是招新的学生
[01:16:04] 他们就会去讲他的这个Research Highlight
[01:16:06] 你每一周
[01:16:07] 就一个学分
[01:16:08] 你每周
[01:16:09] 每周三下午去
[01:16:10] 下午五点
[01:16:11] 然后你可以认识你所有其他的一些计算机系的同学们
[01:16:14] 我就做了一个学期
[01:16:15] 我在后排厅
[01:16:15] 我是个数学系的
[01:16:16] 然后完了之后
[01:16:18] 你就可以知道
[01:16:19] 我的天哪
[01:16:20] 就是有这么多
[01:16:20] 就是做机器人的
[01:16:21] 他们在做什么
[01:16:22] 做这个
[01:16:23] Computer Vision的
[01:16:24] 在做什么
[01:16:25] 反正就是非常
[01:16:26] It's an intellectual feast
[01:16:27] 你是在哪一刻决定辍学要创业的
[01:16:33] 其实我大概知道
[01:16:34] 就我开始融资的时候
[01:16:35] 我就知道我总有一天要辍学
[01:16:37] 就是
[01:16:37] 你是先开始融资才辍学的
[01:16:39] 你是先开始融资再辍学
[01:16:41] 我先开始融资再辍学
[01:16:42] 因为这个
[01:16:42] 我不能辍学
[01:16:44] 因为我辍学了
[01:16:44] 我没有身份
[01:16:45] 我要拿到我的这个身份
[01:16:47] 工作签证
[01:16:47] 我才能够辍学
[01:16:48] 所以我拿到我的工作签证
[01:16:50] 我就辍学了
[01:16:51] 因为就是一般来说
[01:16:53] 投资人也期待你辍学
[01:16:54] 就是你很难说是同时
[01:16:55] 你的就是
[01:16:56] 硅谷这个一般拿到融资
[01:16:58] 就是开始要
[01:16:59] 甚至有些时候辍学是融资的closing condition
[01:17:02] OK
[01:17:03] 为什么不是Subo当CEO
[01:17:06] 是你当CEO
[01:17:07] Subo当时其实还在
[01:17:09] 一开始
[01:17:09] 大部分的时间他还在Meta
[01:17:11] 他没有
[01:17:12] 他到后面
[01:17:14] 他第一刻决定
[01:17:14] 不是订加入你的
[01:17:15] OK
[01:17:16] 因为我们当时谁都不知道
[01:17:17] 这个事情能否
[01:17:18] 得到这个投资人的支持
[01:17:21] 这个事情是想不
[01:17:23] 想不明白的
[01:17:24] 所以从哪个月份决定的
[01:17:25] 我从
[01:17:26] 我从9月份就决定了
[01:17:28] 但我不到11月
[01:17:29] 我没有融资
[01:17:30] 因为我一直在劝自己
[01:17:31] 不要做这件事情
[01:17:32] 为什么
[01:17:32] 我不太喜欢
[01:17:35] 就是
[01:17:36] 当然我觉得中国语境下的创业者
[01:17:39] 是一种就是气质
[01:17:40] 但美国语境下
[01:17:41] 现在就整个Valley都是Founder
[01:17:43] 就是创业者
[01:17:44] 某种程度上辍学创业
[01:17:45] 它就是浮躁
[01:17:46] 我其实觉得
[01:17:47] 如果我是一个本科生
[01:17:48] 我绝对不会去辍学
[01:17:49] 然后去Y Combinator
[01:17:50] 就我某种程度上
[01:17:52] 我觉得我是最不可能创业的一个创业者
[01:17:54] 我非常的喜欢向往学界
[01:17:57] 我非常的希望能够去做更多的
[01:18:00] 数学的一些探索
[01:18:02] 我非常喜欢在大学的一个环境
[01:18:05] 所以我就两个月是在劝退自己
[01:18:08] 然后但是每一天早上还在跑步
[01:18:10] 然后跑步的时候想事情
[01:18:12] 想得非常清楚
[01:18:13] 到后面确定
[01:18:14] 是非常非常确定
[01:18:15] 然后但是我非常非常确定的时候
[01:18:17] 马上就感恩节了
[01:18:19] 从感恩节到圣诞节的时候
[01:18:21] 没有VC上班
[01:18:21] 所以你要么就是那个时候
[01:18:24] 到感恩节融完
[01:18:25] 只有十天
[01:18:26] 要么你就来年再融
[01:18:27] 所以我当时就来年再融
[01:18:29] 那两个月最后你是怎么
[01:18:32] 经过了怎么样的COT
[01:18:33] 然后决定一定要做
[01:18:35] 我当时去读了这个科学史
[01:18:40] 然后读了科学史
[01:18:42] 真的读了科学史
[01:18:43] 就是创业读了科学史
[01:18:44] 就是多少个
[01:18:46] 先是从维基百科开始读科学史
[01:18:49] 后面要找书读科学史
[01:18:50] 然后有一个叫
[01:18:51] AI for Maths
[01:18:52] 一个GitHub Ripple
[01:18:53] 这个GitHub Ripple里面
[01:18:55] 大概有几百篇文章
[01:18:56] 每一篇文章的after我都读过
[01:18:58] 然后有意思的after
[01:18:59] 我就会把整篇文章看完
[01:19:00] 然后我就做了多少次费慢的过程
[01:19:03] 在就是纸上去想
[01:19:04] 如果说我这个东西要搭起来
[01:19:06] 应该技术上怎么做
[01:19:07] 我不可能说
[01:19:08] 我自己觉得这个事情不会成功
[01:19:10] 然后去骗别人的钱
[01:19:12] 这个事情我觉得做不到
[01:19:13] 所以我自己觉得这个事情
[01:19:14] 当时就到了一个程度
[01:19:16] 我发现我觉得
[01:19:17] 它不一定是一个研究问题
[01:19:19] 它是一个工程问题
[01:19:20] 它这个东西的科技的风险
[01:19:24] 就没有我一开始看上去的那么高
[01:19:26] 然后在这样的一个情况下
[01:19:29] 我觉得是负责任的
[01:19:32] 去做这个创业
[01:19:35] 开始融资
[01:19:36] 所以你是在自我验证
[01:19:39] 这个过程是在
[01:19:40] 对 我觉得就是某种程度上
[01:19:42] 你如果去
[01:19:43] 就吸引一些风险投资
[01:19:46] 你需要自己一定要对这件事情
[01:19:48] 比较确定 比较了解
[01:19:50] 不然我觉得不太负责任
[01:19:52] 但你质疑自己的点
[01:19:54] 可能是说会不会我
[01:19:56] 这是一种浮躁
[01:19:59] 这是一种跟风
[01:20:01] 一个是是不是浮躁跟风
[01:20:04] 这个我倒知道
[01:20:05] 我特别反对做一个AI founder
[01:20:09] 所以我知道我绝对不是浮躁跟风
[01:20:11] 反对做一个AI founder是为什么
[01:20:13] 对
[01:20:13] 就是我从
[01:20:15] 因为我在MIT
[01:20:16] 然后在MIT就是有创业社
[01:20:18] 然后我的好朋友们一起去打那个
[01:20:20] Jane Street的那个
[01:20:22] 就是量化金融比赛
[01:20:24] 黑客房的这些同学们
[01:20:26] 他们是创业社的社长
[01:20:28] 我当时就两个队友
[01:20:28] 他们两个就是这个创业社的社长
[01:20:30] 叫我去活动
[01:20:31] 说有这个free sushi
[01:20:32] 免费的寿司我也不去
[01:20:34] 我觉得创业不好
[01:20:35] 它不是一件好事情
[01:20:36] 我觉得还是要做教授
[01:20:38] 这个有点无正业是不是
[01:20:40] 对 然后我觉得就是
[01:20:41] 我总觉得比如说一个以
[01:20:43] 非常产品为导向的
[01:20:44] 这样的一个创业项目
[01:20:46] 感觉像是昙花一现
[01:20:47] 我当时也有这样的一个感受
[01:20:49] 然后我希望做的事情
[01:20:50] 是非常长时间的
[01:20:52] 非常难的
[01:20:53] 所以我觉得一般和一个创业的
[01:20:55] 一个这种风险投资的一个周期
[01:20:57] 可能不一定吻合
[01:20:59] 所以我知道我不是浮躁跟风的那一批
[01:21:02] 然后我当时还有在想
[01:21:06] 就是我有没有什么别的办法
[01:21:07] 能够做这个AI for数学
[01:21:09] 然后我当时还尝试去
[01:21:10] 我要不加入一下
[01:21:11] 别的做AI for数学的公司
[01:21:13] 然后我当时还尝试去
[01:21:13] 然后就在这个Verve的咖啡馆
[01:21:15] 这个我们现在的主要的竞争者
[01:21:17] 这个公司的CEOTudor
[01:21:19] 他也是常客
[01:21:20] 就是我有一天还就见到了Tudor
[01:21:22] 然后我就说
[01:21:22] 你们招人吗
[01:21:24] 然后我当时真的是想
[01:21:26] 就是我是想做这件事情
[01:21:27] 要是我能跟别人一块做
[01:21:29] 我也不用自己去
[01:21:30] 从零到一
[01:21:32] 就感觉太复杂了
[01:21:34] 然后这是主要的质疑点
[01:21:38] 其实不是一个感性的
[01:21:40] 我是不是浮躁
[01:21:40] 我是不是跟风
[01:21:41] 就是我到底会不会这个东西
[01:21:43] 然后我就去研究这个AI for math
[01:21:46] 真的当时就是看paper
[01:21:47] 然后这个过程也非常的快乐
[01:21:49] 就是非常非常的快乐
[01:21:50] 非常快速的去学习一些主要的一些idea
[01:21:53] 从比如说2018年一篇文章叫ATP boost
[01:21:56] 在没有AI的情况下
[01:21:59] 去做这个形式化的定理证明
[01:22:04] 然后我看到Bartos
[01:22:05] 一个波兰人是这个作者
[01:22:07] 我们现在Bartos也就在Action
[01:22:09] 然后我当时有另外的一篇文章
[01:22:12] 叫
[01:22:13] Pattern Boost
[01:22:14] 就是是从很多的数据中
[01:22:18] 去找里面的这个pattern
[01:22:20] 找这个规律的一个
[01:22:22] 去从很多的图中去构造新的图
[01:22:25] 去为数学家去找例子和反例的
[01:22:28] Pattern Boost
[01:22:28] 我当时看Francois Chartand是这个作者
[01:22:31] 现在Francois Chartand也在Action
[01:22:32] 然后我当时看另外一篇
[01:22:34] AI for math的文章
[01:22:35] 叫IntoInt
[01:22:36] 然后这个是拿这个
[01:22:38] 一种translative的翻译的一种方法
[01:22:41] 从问题能够翻译到解法
[01:22:43] 问题能够翻译到解法
[01:22:44] 如果看到了很多这样的例子
[01:22:45] 下一次来到一个问题的时候
[01:22:47] 是否能够直接翻译成解法
[01:22:49] 也是做数学发现
[01:22:51] 而不是数学证明
[01:22:52] 这一个文献里面的
[01:22:54] Alberto Alferino
[01:22:55] 他现在也在Action
[01:22:56] 就是所有这个美丽的过程
[01:22:58] 就是我所有这一
[01:22:59] 当时我作为一个学徒去
[01:23:01] 看这些巨人的肩膀
[01:23:03] 这些文章
[01:23:04] 他们现在都聚起来了
[01:23:06] 都在Action
[01:23:07] 这是一个非常
[01:23:07] 非常我觉得神奇
[01:23:09] 做创业者
[01:23:09] 我觉得其实这是最
[01:23:10] 最高兴的一个过程
[01:23:12] 你有形成了
[01:23:13] 小团体
[01:23:13] 对
[01:23:14] 你去问那个竞争对手
[01:23:17] 能不能加入你们公司
[01:23:19] 有没有机会
[01:23:19] 他怎么说
[01:23:20] 他说你是
[01:23:21] 你是什么的PhD
[01:23:23] 我说我是数学的PhD
[01:23:24] 他说我们只招计算机的PhD
[01:23:26] 为什么
[01:23:27] AI for math
[01:23:28] 对
[01:23:29] 为什么呢
[01:23:30] 我不知道
[01:23:30] 他当时就是这么说的
[01:23:31] 但是你们团队
[01:23:32] 很多都是Math
[01:23:33] 我们团队
[01:23:34] 这么说
[01:23:35] 我们团队有三块
[01:23:37] 我们团队有非常多AI的人
[01:23:40] 就是强化学习
[01:23:42] Agent
[01:23:43] Agent
[01:23:43] Agent
[01:23:43] 就是Applied AI的这一些人
[01:23:46] 我们有很多的
[01:23:47] 做代码生成的人
[01:23:49] 就是Programming Language
[01:23:51] 然后很多是Compiler编译器的人
[01:23:54] 比如说LM Compiler
[01:23:56] 那个主要团队在我们这儿
[01:23:57] 然后他们很多其他的工作
[01:23:59] Compiler Arena
[01:24:00] 就是所有的这些Compiler
[01:24:02] 就是深度学习去帮助Compiler
[01:24:05] 就是代码生成的这样的一群人
[01:24:08] 然后他们当时也是
[01:24:09] Young LeCun那个Code World Model
[01:24:12] 32个Billionaire
[01:24:13] 的那个模型的
[01:24:14] 后面的里面的一部分团队
[01:24:15] 然后都在我们这儿
[01:24:17] 然后有一群是数学
[01:24:19] 这数学里面比较tricky
[01:24:20] 数学里面有纯数学家
[01:24:22] 像Kano
[01:24:23] 小野
[01:24:24] 小野肯教授
[01:24:25] 像Evan Chen
[01:24:26] 我说的这个IMO的这一个教练
[01:24:29] 然后也有做Lin的
[01:24:31] 做Lin这个语言的里面
[01:24:33] 其实就像Python里有PyTorch
[01:24:35] 它是一个图书馆
[01:24:36] 和Python
[01:24:37] 它是下面的真正的那个编程
[01:24:39] Lin里面也有Mathlib
[01:24:41] 是一个数学图书馆
[01:24:42] 和Mathlib
[01:24:43] Lin这个作为一个编程语言
[01:24:45] 两拨人
[01:24:46] 所以我们也都有
[01:24:47] 我们又有这个做Mathlib
[01:24:48] 像Kenny Luo
[01:24:49] 还有他的朋友
[01:24:50] 居建张
[01:24:50] 张居建
[01:24:51] 就这样的一些非常好的
[01:24:52] 好的同学们
[01:24:54] 然后我们又有
[01:24:55] 就是做Meta Programming
[01:24:57] Meta Programming叫原编程
[01:24:58] 就是去把Lin当作一个编程语言
[01:25:01] 来使用
[01:25:02] 去创造出里面
[01:25:03] Lin更多的工具
[01:25:04] 更多的抽象层
[01:25:07] 这样的就是相当于
[01:25:09] 你可以拿Python去写一个
[01:25:11] AutoGrad
[01:25:11] 一个注册
[01:25:13] 一个一个一个一个
[01:25:15] 一个coding的
[01:25:16] 这个这个编程的一个面试题
[01:25:19] 你可以拿Python写一个AutoGrad
[01:25:20] 我们来了一个同学
[01:25:22] 他拿Lin写了一个AutoGrad
[01:25:24] 对
[01:25:24] 所以就是这里面又有很多块
[01:25:26] 所以并不全是数学的人
[01:25:28] 我们很多的就是招ML的同学
[01:25:30] 他们很多背景
[01:25:31] 我们队伍里面就是
[01:25:33] 当然说算上实际上
[01:25:34] 四个M
[01:25:34] 五个M
[01:25:35] 所以说五个M
[01:25:37] 然后
[01:25:37] 就是他们会有很多数学的
[01:25:41] prior
[01:25:42] 就是context
[01:25:43] 就是他们理解
[01:25:44] 这个数学过程是怎么样的
[01:25:45] 但我们要求非常强的
[01:25:47] again
[01:25:48] 这是一个工程问题
[01:25:49] 有趣
[01:25:50] 24年
[01:25:51] 9月
[01:25:52] 你刚刚萌生了想法
[01:25:55] 但是在努力
[01:25:55] 劝退自己
[01:25:56] 11月决定要创业了
[01:25:58] 然后
[01:25:59] 要等那个
[01:26:00] 这个圣诞假才能融资
[01:26:02] 等了圣诞假
[01:26:03] 圣诞假你干什么了吗
[01:26:04] 圣诞假干了很多事
[01:26:06] 和叔伯一起在读文章
[01:26:08] 为什么是你们两个一起
[01:26:09] 他对你就是
[01:26:10] 他已经说我要
[01:26:11] 我要加入了吗
[01:26:12] 他对你就是说我要加入了吗
[01:26:13] 他对你就是说我要加入了吗
[01:26:13] 他当时没有
[01:26:13] 他当时就是在meta
[01:26:14] 就是他当时
[01:26:16] 他圣诞假闲着也是闲着
[01:26:18] 我们两个人就是找
[01:26:20] 像是一个reading group
[01:26:21] 又是个人吗
[01:26:22] 他当时在旅游
[01:26:24] 他圣诞假感恩节
[01:26:25] 他都在就是
[01:26:26] 不在一个地方
[01:26:27] 我们在zoom
[01:26:29] 你们还定期要开会
[01:26:32] 我们发现我们
[01:26:33] 就是讨论我们阅读的心得
[01:26:35] 我们发现我们能够是很好的
[01:26:38] 连创团队的时刻
[01:26:41] 是我们发现
[01:26:42] 我们两个都
[01:26:43] 非常讨厌zoom
[01:26:43] 我没有办法跟人开zoom的会
[01:26:46] 超过一个小时
[01:26:47] 他没有办法跟人开zoom的会
[01:26:49] 超过45分钟
[01:26:50] 我们zoom了四五个小时
[01:26:54] 每一次的
[01:26:54] 这是我们发现一件事情
[01:26:56] 因为我们思考的方式
[01:26:57] 特别的又相似又互补
[01:26:59] 所以我们就非常享受
[01:27:01] 每一次我们的一些技术
[01:27:03] 技术的探索
[01:27:03] 他现在是
[01:27:05] 他是一个
[01:27:06] 他当然你看
[01:27:08] 他20年的GPU经历
[01:27:09] 10年的AI经历
[01:27:11] 他是当时哭打第一批
[01:27:12] 就是开发者
[01:27:14] 然后当时2015 2016年
[01:27:16] 2014 15 16年和乌文达
[01:27:18] 他们这个百度
[01:27:20] 这个硅谷AI研究室
[01:27:23] 他加入了百度
[01:27:24] 他当时是2015 16
[01:27:26] 这是他进入AI的
[01:27:27] 他的第一步的AI
[01:27:27] 是乌文达说
