[00:00:00] Hello大家好,我是小骏
[00:44:24] 你呢
[00:44:25] 在现在干什么
[00:44:26] 你有没有想过
[00:44:27] 要不要回来美国
[00:44:28] 而且呢
[00:44:29] 你有没有想过
[00:44:30] 要不要一起来做火箭
[00:44:32] 对
[00:44:33] 那我觉得我们在做我们那个时候的事情
[00:44:35] 然后你在人在海外
[00:44:37] 然后突然间接到了一个
[00:44:38] 这个这样的一个一个call
[00:44:40] 你会觉得这是非常莫名其妙
[00:44:42] 这是很久没有联系的朋友了是吗
[00:44:44] 是吗
[00:44:45] 很久没有联系的朋友
[00:44:46] 突然间就冒出来
[00:44:48] 他为什么想到你了
[00:44:49] 那他就说呢
[00:44:50] 我们现在呢
[00:44:51] 是一个最快速的增长
[00:44:53] OK的一个公司
[00:44:54] 他就说他
[00:44:55] 他的原话是
[00:44:56] We were a rocket ship
[00:44:57] OK就是我们是一个火箭
[00:44:59] 正在在网上飞
[00:45:01] OK对那你应该来加入我们
[00:45:03] OK一起来在LA
[00:45:05] 怎么样来做火箭
[00:45:07] 那我想听这两个点
[00:45:09] OK第一做火箭
[00:45:11] OK这件事情在美国已经听起来
[00:45:13] OK是听起来有点蛮厉害的
[00:45:15] 在LA做火箭
[00:45:16] 我觉得你肯定没有听过说
[00:45:18] 谁会想过在LA这个地方能够做火箭
[00:45:21] 听过在LA做电影
[00:45:22] 是的
[00:45:23] 当然是这样
[00:45:24] 对那他就是这样说
[00:45:25] 他就说OK你是我认识里面
[00:45:27] 我觉得在工程
[00:45:29] 在这个流程里面最强的人
[00:45:31] 那我觉得你应该
[00:45:32] OK来接受一个新的挑战
[00:45:34] 来加入我们
[00:45:35] 对
[00:45:36] 所以在2012年的这个时候
[00:45:38] 反正我也没有多想
[00:45:40] 那个时候我想说
[00:45:41] 我做视频对不对
[00:45:42] 我自己我也想要找一些
[00:45:44] 可能新的机会
[00:45:45] 让我觉得更大使命的机会
[00:45:48] 所以那个时候我就飞过来
[00:45:50] 对不对
[00:45:51] 我就真的来看一下SpaceX
[00:45:53] 但是在那个之前
[00:45:54] 我其实没有多想
[00:45:56] 就是不管是SpaceX
[00:45:57] 还是太空这个赛道
[00:45:59] 还是ELON等等
[00:46:01] 其实我老实说
[00:46:03] 在这之前我都不知道
[00:46:05] 你不是那种ELON的脑残粉对吧
[00:46:08] 绝对不是
[00:46:09] 完全不是
[00:46:10] 就算那我也不是一个少数的人
[00:46:12] 你说12年OK
[00:46:14] 你说世界真的有多少人认识ELON
[00:46:17] ELON那个时候12年
[00:46:19] OK是一个从PayPal
[00:46:21] OK成功
[00:46:22] 然后变现
[00:46:24] 然后变现完了以后
[00:46:26] 把全部变现的这个资金
[00:46:29] 投入了进去两家工
[00:46:30] 两家
[00:46:31] 那个时候大家都觉得OK
[00:46:33] 不是太厉害的
[00:46:35] 一个是初创公司
[00:46:36] 一个是SpaceX
[00:46:37] 一个是Tesla
[00:46:39] 对
[00:46:40] 但是呢
[00:46:41] 那个时候就是
[00:46:43] 他跟我分享了这个机会
[00:46:45] 对
[00:46:46] 那也分享了SpaceX要做的事情
[00:46:49] 那我觉得好巧不巧的是
[00:46:51] 那个时候啊
[00:46:52] 我们刚刚不是有讲到Epson这个故事吗
[00:46:54] 我Epson的那个老板
[00:46:56] 后来离开Epson以后呢
[00:46:58] 去了日本
[00:46:59] 那去了日本
[00:47:01] 他是一个美国人
[00:47:02] 美国日本人
[00:47:03] 但是呢
[00:47:04] 后来呢
[00:47:05] 他基本上就监管了美国
[00:47:07] 日本整个亚马逊
[00:47:10] OK在日本的这个就启动
[00:47:12] 所以他那个时候在12年的时候他说
[00:47:14] 你不要去做任何事情
[00:47:16] 我们现在呢
[00:47:17] 在亚马逊在日本刚刚开始
[00:47:20] OK这是一个你在这个人生里面
[00:47:23] 你不会再碰到第二次的机会
[00:47:25] 赶快过来OK
[00:47:26] 跟我一起来在日本这边
[00:47:28] 把这个亚马逊这边做成
[00:47:30] 所以我那个时候呢
[00:47:31] 在12年的时候面临了两个抉择
[00:47:33] 一个呢
[00:47:34] 是加入这个大家都知道这个亚马逊
[00:47:37] OK在日本的这个等性的这个机会
[00:47:40] 第二呢
[00:47:41] 是加入一家太空公司
[00:47:43] 然后来开拓宇宙
[00:47:45] 然后你选了第二个
[00:47:47] 这个过程呢
[00:47:49] 其实是一个
[00:47:50] 我必须坦白
[00:47:51] 是一个蛮难卷载的东西
[00:47:52] 因为我觉得这两个机会都非常非常的吸引我
[00:47:55] 对不对
[00:47:56] 所以那当然你在面临一个很难的机会的时候
[00:47:58] 你一定会干嘛
[00:47:59] 你会OK问问你身边的人
[00:48:01] 那我所有身边的人呢
[00:48:03] 每个人都跟我讲一致的话
[00:48:05] 这个问题你还要问吗
[00:48:07] 这个问题你当然是加入亚马逊
[00:48:09] 谁会去做太空干什么
[00:48:13] 太空有什么机会了不起
[00:48:15] OKSpaceX
[00:48:16] OK这家公司很有想法
[00:48:18] OK英雄很厉害
[00:48:19] 就了不起了
[00:48:20] OK全世界一年发了十几次
[00:48:23] so what
[00:48:24] OK这卫星反正这个产业就是这样
[00:48:26] 一年就发了几个卫星上去呗
[00:48:28] 这没有什么看头
[00:48:29] 你一定要加入亚马逊
[00:48:31] 那我那个时候
[00:48:33] 也和机械好好听
[00:48:35] 对那我觉得说也蛮难选择的
[00:48:37] 那后来为什么决定选择加入SpaceX
[00:48:40] 是因为我觉得说SpaceX在做的这个理念
[00:48:44] 主要开拓宇宙
[00:48:46] OK那把宇宙开拓给全人类去探索
[00:48:50] 我自己好好的想想这个东西
[00:48:53] 我想说如果SpaceX真的做成了
[00:48:56] 这将是一个前所未有
[00:48:59] 我们从来没有看过的世界
[00:49:01] 没有看过的世界
[00:49:03] 那如果我有这个机会
[00:49:05] 能够在早期的时候
[00:49:07] 加入这一个使命
[00:49:10] 但是我没有去加入这个东西
[00:49:12] 那我一定会后悔一辈子
[00:49:14] 你是第多少号员工
[00:49:16] 那个时候我加入SpaceX的时候已经一千多人了
[00:49:19] 对所以我是一千多号员工
[00:49:21] 我有两个问题
[00:49:22] 你什么时候意识到错过了Google
[00:49:24] 是一个特别大的机会
[00:49:25] 是一个特别大的损失
[00:49:27] 我其实从来没有想过这个问题
[00:49:30] 对不对
[00:49:31] 我觉得当然从今天
[00:49:33] OK你看Google
[00:49:34] OK是一个反正多大多大的公司
[00:49:36] 对不对
[00:49:37] 那那个时候有这个机会
[00:49:38] 但是其实你说那时候错过Google
[00:49:41] 你后悔吗
[00:49:43] 我觉得其实还好
[00:49:45] 我觉得人会后悔是你知道吗
[00:49:47] 你知道你应该做一件事情
[00:49:49] 那你选择
[00:49:50] OK你没有去做这件事情
[00:49:51] 因为你害怕
[00:49:53] 或者你选择了更简单的路
[00:49:56] 然后你去做了
[00:49:57] 然后你后面证明OK
[00:49:59] 你是错的
[00:50:01] 你的直觉是对的
[00:50:02] 你的直觉是对的
[00:50:03] 但你没有去follow你的直觉
[00:50:05] OK那所以那你错过了
[00:50:07] 我觉得这人会后悔
[00:50:08] 所以Google不是你的直觉
[00:50:10] 我觉得Google那时候也不是我的直觉
[00:50:12] 嗯
[00:50:13] 其实老实说对
[00:50:14] 所以没有什么可后悔的
[00:50:15] 我觉得还好
[00:50:16] 对当然了
[00:50:17] 当然OK
[00:50:18] 我待会就啊
[00:50:19] 如果那个时候加入space
[00:50:20] 加入Google的时候
[00:50:21] 可能我现在对不对
[00:50:22] 在夏威夷还whatever
[00:50:23] 但是但是我觉得
[00:50:25] 我觉得那个时候的感觉
[00:50:27] 跟在对SpaceX
[00:50:28] 跟现在
[00:50:29] 如果你说现在这个东西
[00:50:31] 现在此时此刻
[00:50:33] 然后再回去
[00:50:34] 说你那个时候
[00:50:35] 错过了SpaceX
[00:50:37] 那我肯定
[00:50:38] 对不对
[00:50:39] 我觉得这个东西肯定会
[00:50:40] 会跟我一辈子
[00:50:42] 嗯
[00:50:43] 你的那一段创业是怎么结束的
[00:50:46] 那个公司后来怎么样
[00:50:48] 后来那家公司很简单
[00:50:49] 那家公司反正也是一个赚钱的公司
[00:50:51] 那也是一个小企业
[00:50:52] 对不对
[00:50:53] 它不是一个什么venture
[00:50:54] 也不是一个什么
[00:50:55] 你知道吗
[00:50:56] 独角兽公司
[00:50:57] 就是一个赚钱的一个公司
[00:50:58] 对
[00:50:59] 那个时候我跟我的老板
[00:51:01] 反正就是两个人嘛
[00:51:02] 对也很好说
[00:51:03] 对对反正我就跟他说
[00:51:04] 很坦白的就说
[00:51:05] 我还想要做什么事情
[00:51:06] 那他也很支持我
[00:51:08] 对那反正我就把我的股份
[00:51:09] 就给他
[00:51:10] 那我就反正就退出了
[00:51:11] 我就回到了美国
[00:51:13] 你跟马斯克写过一封
[00:51:14] 很有意思的信是吗
[00:51:16] 来解释一个食品
[00:51:18] 一个做食品的人
[00:51:19] 为什么要去做火箭
[00:51:20] 这是非常好的问题
[00:51:21] 对这个呢
[00:51:22] 这早期呢
[00:51:23] 我觉得对观众朋友
[00:51:24] 可能会觉得这有莫名其妙
[00:51:25] 为什么要跟马斯克写信
[00:51:26] OK那讲一下这个过程
[00:51:28] 就是说呢
[00:51:29] 那个时候呢
[00:51:30] 在SpaceX呢
[00:51:31] 一直对这个
[00:51:32] 面试新的人
[00:51:33] 跟招聘新的人呢
[00:51:34] 有非常非常高的要求
[00:51:36] 嗯
[00:51:37] OK就是
[00:51:38] 那除了
[00:51:39] 除了就每一个人
[00:51:40] 都要经过
[00:51:41] 深刻的这种筛选
[00:51:42] OK这种多轮的
[00:51:43] 十几轮的这种筛选以外
[00:51:45] 那其实一个最重要的点
[00:51:46] 就是在这些筛选完
[00:51:47] 每一个人都同意以后
[00:51:48] 最后一轮
[00:51:50] OK都要马斯克
[00:51:51] 签了一封信
[00:51:52] 对
[00:51:53] 然后呢
[00:51:54] 马斯克就写了一封信
[00:51:56] 亲自面试
[00:51:57] OK那亲自同意
[00:51:59] OK才有办法加入这家公司
[00:52:01] OK那回归到2012年
[00:52:03] OK我的确
[00:52:04] 那个时候
[00:52:05] 我我我
[00:52:06] 反正我选择去加入SpaceX
[00:52:08] 对那所以SpaceX
[00:52:09] 把我飞回来美国
[00:52:10] 那也那一天
[00:52:11] 就反正一天里面
[00:52:13] 真的就经过十几轮的这个面试
[00:52:15] 跟所有公司里面的
[00:52:16] 这工程高管什么
[00:52:18] 所有人都聊了一遍
[00:52:19] 那
[00:52:20] 后面
[00:52:21] 反正大家都觉得
[00:52:22] 哦同意了
[00:52:23] 就是这个人很好
[00:52:24] 我们想要想要招聘他
[00:52:25] 可是那个时候呢
[00:52:26] 刚好马斯克不在
[00:52:27] OK马斯克那个时候呢
[00:52:28] 去澳洲出差了
[00:52:30] OK那那个时候
[00:52:32] HR当然就很担心
[00:52:34] OK就很着急
[00:52:35] 他就说
[00:52:36] 哎他也知道说
[00:52:37] 我那个时候有个亚马逊的这个
[00:52:38] 这个这个offer在等我
[00:52:40] 那他他就跟伊朗说
[00:52:42] 这个人不能等
[00:52:43] 要不然你就破例吧
[00:52:44] OK那你虽然没有办法
[00:52:45] 亲自跟他这样的面试
[00:52:47] 但是找他写一封
[00:52:49] OK这个这个介绍的东西
[00:52:51] 跟你这样说吧
[00:52:52] OK所以那个时候
[00:52:53] 我是一个比较
[00:52:54] 唯一少数破例
[00:52:55] 就没有办法
[00:52:56] 跟直接跟马斯克
[00:52:57] 马斯克面试
[00:52:58] 然后就反正写一篇
[00:52:59] 自我的介绍
[00:53:00] 那跟马斯克
[00:53:01] 那马斯克呢
[00:53:02] 基本上就问我说
[00:53:04] 为什么你想要来spacex
[00:53:05] 这是很简单的一个open
[00:53:07] end的问题
[00:53:08] 对那那个时候
[00:53:09] 反正我加入spacex的时候呢
[00:53:10] 我是加入spacex的这个生产
[00:53:13] 跟产品
[00:53:14] 然后跟产品的开发
[00:53:15] 对那那个时候
[00:53:16] 大家会一个很像你一样
[00:53:19] 又问一个问题
[00:53:20] 你做食品的
[00:53:21] 食品跟火箭
[00:53:23] 跟你现在做这个事情
[00:53:24] 有什么关系
[00:53:25] 对
[00:53:26] OK那
[00:53:27] 我就反正跟马斯克
[00:53:28] 稍微解释了一下
[00:53:29] 说你在食品产业里面
[00:53:30] 其实食品呢
[00:53:31] 被大家的一个最
[00:53:33] 最普遍的一个误解
[00:53:36] 就其实食品呢
[00:53:37] 从一个产品的角度
[00:53:39] 是一个最难的一个产品
[00:53:42] OK你需要在一个
[00:53:43] 非常短的时间内
[00:53:46] OK爆发的这样生产
[00:53:49] 非常非常多的量
[00:53:51] 并且每一个东西的稳定性
[00:53:54] 都会经过全世界
[00:53:55] 最高的这种品质的审核
[00:53:59] 就是你的嘴巴这样审核
[00:54:01] OK所以它是一个
[00:54:02] 其实从一个产品的角度的设计
[00:54:05] 跟这个规划方面
[00:54:06] OK是一个非常非常困难的事情
[00:54:09] OK那我希望把这个
[00:54:11] 我所学习到的这些的精髓
[00:54:13] OK来把它应用在
[00:54:14] 这个火箭整个的生产
[00:54:16] 跟这个等供应链上面
[00:54:18] 就是这个点
[00:54:19] 他秒批
[00:54:21] 他呢
[00:54:22] 这个东西让我不知道
[00:54:23] 我不在场
[00:54:24] 但是HR跟我说是马斯克
[00:54:26] OK看了以后
[00:54:27] 对立刻就是反正
[00:54:29] 一分钟内就拍板就好
[00:54:30] 就请这个人
[00:54:32] 这是他跟我说的
[00:54:34] 但具体是发生什么事情
[00:54:35] 反正我不在场
[00:54:36] 但是HR跟我说
[00:54:38] 我听说他一直比较喜欢通财是吗
[00:54:42] 这是一个很好的问题
[00:54:43] OK就是你现在讲到就是
[00:54:45] SpaceX喜欢找什么样的人
[00:54:47] 对那SpaceX呢
[00:54:49] 你看早期的SpaceX
[00:54:51] 一般认为说
[00:54:52] 你在做一间火箭公司
[00:54:54] 航空航天公司
[00:54:56] OK那你又
[00:54:57] 你对不对
[00:54:58] 你不如波音的资源
[00:55:00] 你不如波音的这个人
[00:55:01] 对不对
[00:55:02] 那不如波音的经验
[00:55:03] 那你应该希望找这个
[00:55:05] 很多很多航空航天的这个专家
[00:55:07] OK来帮助你在早期的时候
[00:55:09] 来这个来追赶
[00:55:11] OK但是呢
[00:55:14] 这些点
[00:55:16] OK不会在
[00:55:17] 面试的时候呢
[00:55:18] 对你造成负面的这个影响
[00:55:20] 可是呢
[00:55:21] 他不会绝对不是一个
[00:55:23] SpaceX就是专心在找的人
[00:55:26] 就SpaceX看了这整个产业
[00:55:28] 认为说这个产业在过去这几十年
[00:55:31] 其实没有什么大的变动
[00:55:33] OK那也都是这些人弄的
[00:55:35] OK那
[00:55:36] OK
[00:55:37] 太空一直对大家来的认知来讲
[00:55:40] OK都是一个
[00:55:41] 你知道非常高规格
[00:55:43] 一个非常就是工艺化
[00:55:45] 非常这种精工
[00:55:47] 非常一个两个这种的克制
[00:55:50] 这样的一个生产
[00:55:51] 那马斯克认为说
[00:55:52] 我们如果要真的打开宇宙
[00:55:55] 给大家去探索
[00:55:56] 这是不当然不符合的
[00:55:58] 我们一定要有办法
[00:55:59] 能够把太空
[00:56:01] 能够跟大众
[00:56:02] 并且更
[00:56:04] 这个
[00:56:06] 跟大量生产化
[00:56:08] 所以我们需要在这个业界里面
[00:56:10] 跟以外的人
[00:56:12] 给进来里面
[00:56:13] 给这些这个业界里面带一些心血
[00:56:16] 所以
[00:56:17] 所以其实SpaceX
[00:56:18] OK招的
[00:56:20] 蛮多其实从
[00:56:22] 各行各业
[00:56:24] 那在各行各业里面
[00:56:26] 有各种不同精髓的人
[00:56:27] OK来加入SpaceX
[00:56:29] 大家会直觉觉得
[00:56:31] 宇宙离我好远啊
[00:56:32] 这不是普通人能做的
[00:56:34] 但是它其实比较反大家的普通认知吧
[00:56:37] 我觉得是一个
[00:56:38] 对
[00:56:39] 就是像我们刚刚回到刚刚最初前的嘛
[00:56:41] 就是所有
[00:56:42] 不管是投资
[00:56:43] 还是说这些从业者
[00:56:45] 大家都觉得说
[00:56:46] 这太空离我们是一个很远的东西
[00:56:49] 嗯
[00:56:51] 那我问你一个问题
[00:56:53] 你想要去太空吗
[00:56:55] 如果有这个机会
[00:56:56] 想啊
[00:56:57] OK
[00:56:58] 你想要去对不对
[00:56:59] 想要去太空站
[00:57:00] 想要去月球看一看
[00:57:03] 想要去月球看一看
[00:57:05] perfect
[00:57:06] OK
[00:57:07] 那回答你刚刚的问题就是
[00:57:09] 太空离我们远吗
[00:57:11] 其实呢在你我的这个
[00:57:13] 就是
[00:57:14] 不要说这个生命里面
[00:57:16] 对吧
[00:57:17] 我们不要说我们老的时候
[00:57:18] 其实在这个未来的十年到十五年之间
[00:57:20] OK
[00:57:21] 其实人上太空
[00:57:22] OK
[00:57:23] 不是一个遥遥无几
[00:57:24] 就是你要一个特别太空人
[00:57:26] OK
[00:57:27] 或者你要是一个特别
[00:57:28] 你要是
[00:57:29] 你要是JetBasel
[00:57:30] OK
[00:57:31] 才有办法做的事情
[00:57:32] 门槛会是多少
[00:57:33] 嗯
[00:57:34] 如果SpaceX做到
[00:57:35] SpaceX该做的事情的话
[00:57:37] 马斯克的目标
[00:57:38] OK
[00:57:39] 是一张头等舱的一张机票
[00:57:41] 哦
[00:57:42] 一次能带多少人
[00:57:44] 嗯
[00:57:45] 跟一个航空飞机
[00:57:47] 差不多一辆机票
[00:57:49] 航空飞机
[00:57:50] 差不多这样的规格
[00:57:51] 就一星间这样的规格
[00:57:53] 有除了金钱以外的其他门槛吗
[00:57:58] 当然
[00:57:59] 你呢
[00:58:00] 当然还不能够有这些天然这些疾病
[00:58:03] OK
[00:58:04] 那当然就不是这方面的专家
[00:58:06] 但是呢
[00:58:07] 马斯克跟SpaceX那时候初衷
[00:58:09] OK
[00:58:10] 就是希望能够做一个
[00:58:11] 反正大家都可以体验的一个项目
[00:58:15] 嗯
[00:58:16] 对那这个东西
[00:58:17] 蓝色起源在他们的这个
[00:58:18] 你知道Blue Origin都已经证实了
[00:58:20] 其实呢
[00:58:21] 其实你说年龄
[00:58:22] 或者你不同的行业
[00:58:24] 进行上太空上下的这个的
[00:58:26] 以这个的身体的这个需求的标准
[00:58:28] OK
[00:58:29] 其实没有那么的高
[00:58:30] 那在SpaceX
[00:58:32] 在过去几年
[00:58:35] 如果你有关注的话
[00:58:36] 对它有几个这个所谓的这个民营
[00:58:39] 的这个太空这个任务
[00:58:42] 为什么刻意找寻
[00:58:44] 你可以看出为什么是一个
[00:58:46] 一个老师
[00:58:47] 跟一个就是普通的一个医生
[00:58:49] 或者是一个从来没有太空经验的人
[00:58:52] 我觉得SpaceX也要证实这件事情
[00:58:54] 就是任何人OK
[00:58:56] 可以在这个太空的这个平台上面
[00:58:58] 可以上下太空自如
[00:59:00] 那一切以安全非常稳定的方式
[00:59:03] 让上上
[00:59:04] 嗯
[00:59:05] 你刚才讲了你跟马斯克写信
[00:59:07] 那你第一次见他是什么样的场景啊
[00:59:09] 有被吓到吗
[00:59:10] 嗯
[00:59:13] 我不会说吓到这个这个这个这个词的
[00:59:16] 但是我就说我们因为我12年加入SpaceX嘛
[00:59:19] 13年的时候就跟马斯克开会了嘛
[00:59:21] 12年还不能开
[00:59:22] 12年的时候还没有开会
[00:59:24] 对不对
[00:59:25] 那13年我是12年的年底的时候加入的
[00:59:27] 所以差不多也就快过年了
[00:59:29] 那13年年初的时候刚好跟马斯克OK
[00:59:32] 这边马斯克年初的时候都会跟全公司
[00:59:35] OK发表了一个这个年终大会
[00:59:38] OK就年初大会
[00:59:39] 给说就我们今年啊要目标
[00:59:41] 要做这边25件事情
[00:59:43] 然后大家看这个东西哇
[00:59:45] 我如果能够做前面两件事情
[00:59:47] 可能就很了不起了
[00:59:48] 但是这Space的目标就一堆一堆一堆
[00:59:50] 每一年都一堆一堆的
[00:59:51] 一般每年能实现多少
[00:59:52] 这算OK啊对吧
[00:59:54] 这也不能算是一个普就是一个你的所谓的一边的这种的啊
[00:59:58] 就KPI
[00:59:59] OK我觉得很多员工很多公司把KPI就是非常非常盛景的
[01:00:04] 但是这个东西是
[01:00:06] 可能对马斯克来讲对
[01:00:08] 如果是他的话
[01:00:09] 然后全公司都像他一样
[01:00:10] 因为我们可以所有完成都可以完成
[01:00:12] 但我觉得说看这个整个list
[01:00:14] OK如果能够完成的前三的前五
[01:00:17] 我觉得公司已经很厉害很厉害了
[01:00:20] 一般每年能完成百分之多少
[01:00:22] 差不多前三前五
[01:00:25] 但是百分之
[01:00:27] 我如果要一个具体的
[01:00:28] 嗯我觉得百分比比较
[01:00:30] 嗯
[01:00:31] 比较难给一个百分比
[01:00:34] OK因为这些东西
[01:00:35] 但是呢差不多就是反正哦
[01:00:37] 我们不只要能够成功回收火箭
[01:00:40] 还有一年发射50次
[01:00:41] 然后等等等等等等
[01:00:43] 这样这样这样
[01:00:44] 加下来这些东西
[01:00:45] 对那差不多一年
[01:00:46] 呃当然他是以以重要度这样子来来排表的
[01:00:50] 所以你呢能够维持能够完成这前几个
[01:00:53] 觉得都已经公司已经算是一个在整个行业里面
[01:00:56] 已经是非常非常不容易了
[01:00:58] 嗯第一次听他演讲感觉怎么样
[01:01:01] 第一次听他演讲
[01:01:03] 嗯这这这很有意思
[01:01:05] 你看今天的马斯克哈
[01:01:06] 今天的马斯克
[01:01:07] 我今天也在在在在谈聊聊说
[01:01:09] 今天你看X啊
[01:01:10] 你知道马斯克天天在X上面乱说话
[01:01:12] OK我就希望他能够少说一点
[01:01:14] 那如果你看他2012年2013年的时候
[01:01:17] 那个样子跟今天完全是两个人
[01:01:20] OK2012年13年的马斯克基本上不是一个
[01:01:24] 可能是你认识里面所有科技里面CEO
[01:01:26] 最不CEO的一个CEO吧
[01:01:28] 这么说
[01:01:29] OK就是你可能都会觉得CEO那是
[01:01:33] 你知道我就是一个哎光鲜亮丽
[01:01:35] 然后能说能道
[01:01:37] 对不对
[01:01:38] 然后哇说的这每一句话
[01:01:39] 大家都知道就是被他这个就完完全全的这个
[01:01:43] 这个这个这个就是说新颖
[01:01:46] 今天他被认为是全世界最会讲故事的人啊
[01:01:49] 今天是对
[01:01:50] 只是有一点讽刺
[01:01:52] 12年不是
[01:01:53] 12年13年不是说他不会讲故事
[01:01:55] 而是呢
[01:01:56] 那个那个风格完全不一样
[01:01:59] 2013年他是一个极端内向的人
[01:02:02] 那极端内向到什么程度呢
[01:02:04] 也就是说
[01:02:05] 虽然我们在自家OK在自己公司内
[01:02:08] OK在做这个就年度这个分享
[01:02:11] 但是呢
[01:02:12] 我们也感觉到马斯克是非常极度的这个不舒适
[01:02:15] OK不舒适到你比他还感觉在台下感觉的比他在台上还不舒适
[01:02:21] 这这很难用言语形容
[01:02:23] 但是我觉得说每一个人的这个在你跟一个人的两个人的招呼之间
[01:02:27] 对不对
[01:02:28] 你要觉得他要非常的不舒服
[01:02:30] 你肯定也可以感受得到
[01:02:32] 对那你这个间接的这个就是我们所有人在那个时候的感受
[01:02:36] 对
[01:02:37] SpaceX在12年
[01:02:38] 马斯克在12年13年的时候呢
[01:02:40] 非常
[01:02:41] 我不像今天OK比较会讲故事
[01:02:45] 比较会面对媒体面对这个大众OK
[01:02:48] 比较会传达这个大的这个讯息
[01:02:50] OK他是一个反正非常
[01:02:53] 但是我觉得在某一些方面马斯克还是马斯克
[01:02:56] 我一直都没有变
[01:02:57] 给他是一个非常直的一个人
[01:02:59] 我给一个非常表里如一的一个人
[01:03:01] 你发现他对我们这样的表达是这样
[01:03:06] 他对外界的表达也是一样
[01:03:08] 那其实说以前的这个讯息
[01:03:10] 跟后面的讯息基本上是一致的
[01:03:12] 就是基本上马斯克身为一个领袖
[01:03:14] 一个非常的非常大的一个优点
[01:03:16] 嗯
[01:03:17] 对那所以那时候我们在在看他那个反正演讲的时候
[01:03:20] 对不对
[01:03:21] 我觉得呢
[01:03:22] 大家呢OK就是撇开他讲的东西
[01:03:24] 可能我觉得一点非常非常明显的OK是
[01:03:27] 大家都被他的这个真诚
[01:03:29] 我觉得说打动
[01:03:30] 那我觉得呢
[01:03:31] 为什么大家可以跟马斯克这么久
[01:03:34] 那并且一直共事
[01:03:36] OK我觉得马斯克是一个非常真的人
[01:03:38] 到今天
[01:03:39] 我觉得我到今天还是认为他还是那样的马斯克
[01:03:42] 你是怎么开始进入猎鹰9号的制造环节的
[01:03:48] 这个是一个临选机制吗
[01:03:51] 就是公司当时的组织是什么样的
[01:03:53] 他有哪些垂类的部门
[01:03:55] 你进去做的是什么
[01:03:58] 我进去做的呢
[01:03:59] 其实我是在这个太空船
[01:04:01] 就是飞龙号这个部门的
[01:04:03] 飞龙号
[01:04:04] 对所以我第一份工作呢
[01:04:05] 其实是一个工程师
[01:04:07] OK我是在飞龙号
[01:04:08] 然后专门设计跟开发跟制造飞龙号的内部的所有
[01:04:14] 就是我来负责的
[01:04:16] 那那个时候的SpaceX的组织非常非常的简单
[01:04:19] SpaceX那个时候你说有一千多人
[01:04:21] 对不对
[01:04:22] 我加入的时候
[01:04:23] 那你会觉得一千多人
[01:04:25] 这个这个出装公司很大
[01:04:27] OK这也很多人了
[01:04:28] 对那你如果我给你对比一下
[01:04:30] 就相比OK在波音在Loki Martin在ULA这个组织里面
[01:04:35] 相同的一年跟SpaceX一样的时间
[01:04:38] 他们在竞争发射的这个火箭这个公司
[01:04:42] 给他们相同的有一万个人在做这个事情
[01:04:46] 也就是SpaceX当初是一个人比十个人
[01:04:49] 这样的比例OK在做一样
[01:04:51] 真是超越的事情
[01:04:52] 这个时候已经是它成立了多少年了
[01:04:54] 这个时候是一二年就是刚好十年
[01:04:57] 十年发展了一个一千人的组织
[01:05:00] 没错SpaceX是2002年的时候创立的
[01:05:03] 但是到十年的时候大家还是不相信它这个太空的故事
[01:05:08] 我觉得远远远远还太早了
[01:05:12] 对我只不相信吧
[01:05:14] 对或许我觉得可能根本就不是
[01:05:18] 对对大部分的人可能不一定是
[01:05:20] 可是呢SpaceX在做的事情
[01:05:22] OK对NASA觉得是一个很重要的事情
[01:05:25] 对对那对所以那个时候一二年
[01:05:30] 加入对不对那SpaceX就一千多人
[01:05:33] 那你说那个时候的组织怎么样
[01:05:35] 嗯
[01:05:38] 那个组织是非常平的
[01:05:40] 也就是每一个火箭船
[01:05:42] 太空船有一个大大小小的部门
[01:05:44] 那每一个部门呢基本上会有一个主要负责
[01:05:48] 某个工程师我那个时候也是其中的一个人
[01:05:51] 一个团队只有一个负责人
[01:05:53] 就是一个负责人
[01:05:54] 然后他同时也是工程师他要干活的
[01:05:56] 他工程师要干活要去采购要去生产要去开发等等
[01:06:01] 就是一个人
[01:06:02] 那如果说那这个人明天被火车撞了怎么办
[01:06:05] 那可能真的就有一个洞
[01:06:08] 哦这么重要就是他们是不可替代的
[01:06:11] 就是公司那个时候呢也没有太多的资源
[01:06:13] 所以你有太多的这种替代的
[01:06:15] 当然当然也是有有一些backup
[01:06:17] 但是就是极端极端的少
[01:06:19] 就每一个人基本上你都负责你的部位
[01:06:22] 那如果你做不出来
[01:06:24] 嗯
[01:06:25] 全公司就在等你
[01:06:26] 哦
[01:06:27] OK就是基本上就是我对我对进来的人
[01:06:31] OK的这个需求
[01:06:33] 跟这个要求非常的高
[01:06:35] 但是一旦进来了
[01:06:36] 我给予所有每一个人
[01:06:38] 有非常非常大的这个责任
[01:06:42] 比这非常非常大的期望
[01:06:44] 它是一个人才密度高的组织吗
[01:06:47] 是人才密度
[01:06:49] 我怎么形容Space8早期的这个员工呢
[01:06:53] 一般来讲有几个特性吧
[01:06:55] 第一都很年轻
[01:06:57] 多年轻二十
[01:06:59] 大部分二十几了不起三十
[01:07:02] 你那时候多大
[01:07:03] 我那时候good question
[01:07:05] 我一二年的时候差不多也就三十出吧
[01:07:07] 差不多吧
[01:07:08] 对
[01:07:09] 差不多吧
[01:07:10] 你看我都忘了
