[00:00:00] Hello 大家好,我是小骏
[00:00:03] 今天我们的嘉宾是游凯超
[00:41:24] 然后呢
[00:41:25] 所以他需要去引导一些新的project
[00:41:28] 就是他很难参与到别人的project里面
[00:41:31] 他可以通过参与别人的project去练手
[00:41:34] 去学习如何做research
[00:41:36] 但是呢
[00:41:37] 现在的博士生
[00:41:38] 就是都很强
[00:41:39] 就是你可以说
[00:41:40] 他们在博士毕业之前的成果
[00:41:42] 可能都已经够博士毕业了
[00:41:43] 那么他们接下来要做的事情
[00:41:45] 只是把他们的这个研究能力
[00:41:47] 在博士前一两年的时候
[00:41:49] 再做出一些新的成果
[00:41:51] 然后方便他们能够毕业
[00:41:52] 所以
[00:41:53] 就是低年级的博士生同学
[00:41:56] 他们都希望有一些新的方向做
[00:41:57] 他们不希望沿着原来的老路去
[00:42:00] 巩固一些现有的知识
[00:42:02] 然后呢
[00:42:03] 就是博士太后期的同学
[00:42:06] 他主要急着找工作
[00:42:08] 因为他马上就要毕业了
[00:42:09] 他要去工业界
[00:42:10] 对
[00:42:11] 所以说他不太会花时间
[00:42:13] 在这个开源项目的维护上面
[00:42:15] 所以
[00:42:16] 最适合的
[00:42:18] 就是做开源项目的同学
[00:42:20] 应该就是
[00:42:21] 博士的中后期
[00:42:22] 然后呢
[00:42:23] 没有什么毕业论文的压力
[00:42:25] 然后呢
[00:42:26] 又对开源项目比较有兴趣
[00:42:28] 这样的同学比较合适
[00:42:30] 你当时正好处于这个阶段
[00:42:32] 对
[00:42:32] 我当时正好处在这样一个时期
[00:42:34] 因为
[00:42:34] 我之前的一些算法研究
[00:42:36] 也基本上够毕业了
[00:42:38] 然后呢
[00:42:38] 我个人也觉得就是
[00:42:40] 我想转变一下研究方向
[00:42:41] 然后呢
[00:42:42] 转变研究方向的话
[00:42:43] 我并不希望就是在这个
[00:42:46] 机器学习系统领域
[00:42:47] 有一些论文的发表
[00:42:48] 我更多的希望是
[00:42:49] 拿到一些这个
[00:42:50] hands on的研究方向
[00:42:51] 去学习这个系统
[00:42:53] 就是是如何build一个系统的
[00:42:55] 那所以我对这个
[00:42:57] 纯工程的这个问题
[00:42:59] 是完全OK的
[00:42:59] 就是你让我
[00:43:01] 几个月都在做工程的实现
[00:43:03] 我都是OK的
[00:43:04] 然后以及我当时觉得
[00:43:05] 这个VM项目有比较重要的
[00:43:07] 是一个比较重要的历史机遇嘛
[00:43:09] 所以我都是就是比较
[00:43:11] 全身心的投入在里面
[00:43:13] 你当时算是第几号成员
[00:43:15] 第几号的话
[00:43:17] 我觉得我算是
[00:43:18] 第四个比较主要的吧
[00:43:20] 嗯
[00:43:20] 啊
[00:43:51] ,再大一些
[00:43:51] 但是他当时
[00:43:52] 本来准备博士入学的时候
[00:43:54] 他quit了
[00:43:55] 然后呢
[00:43:56] 去参与这个AnySkill的创业了
[00:43:58] 然后创业了几年之后
[00:44:00] 再回来读博士
[00:44:01] 所以他已经有比较深厚的
[00:44:03] 这个开源社区的相关的经验
[00:44:05] 然后呢
[00:44:06] 他也不是那么看重论文
[00:44:08] 更多的是看重这个
[00:44:09] 对现实世界的impact
[00:44:11] 他也觉得这个VM项目比较重要
[00:44:13] 所以他是应该是第三个
[00:44:15] 这个全职投入的同学
[00:44:17] 然后第四个应该就是我了
[00:44:20] 就是我过去的
[00:44:20] 过去的时候
[00:44:21] 我也是一个类似的想法
[00:44:22] 就是反正我有时间
[00:44:24] 我也愿意投入
[00:44:25] 然后这个项目也缺人
[00:44:27] 然后嗯
[00:44:28] 其他的同学就是这个项目
[00:44:30] 他肯定就是这个论文本身
[00:44:32] 他的作者有很多人啊
[00:44:34] 但最后啊
[00:44:36] 就是其他同学都是因为刚才说到的各种原因
[00:44:39] 他们都去找别的事情做了
[00:44:41] 我觉得有的人可能就会想说
[00:44:43] 如果是一个开源项目的话
[00:44:44] 我需要是发起人
[00:44:45] 就是他需要是我创立的
[00:44:47] 你有这种想法吗
[00:44:49] 我觉得不需要吧
[00:44:50] 就是更多看你能在里面做什么贡献
[00:44:53] 其实当时这个开源项目
[00:44:55] 他整体处于一个非常缺人的状态
[00:44:57] 所以我觉得只要投入热情
[00:45:00] 对用真心
[00:45:01] 用真心
[00:45:03] 对用真心就可以
[00:45:04] 所以你是为什么对他如此真心呢
[00:45:06] 是怎么开始的呀你们
[00:45:08] 就是你们
[00:45:10] 我们19年你刚刚认识卓翰
[00:45:12] 然后你又去交流了嘛
[00:45:15] 然后这个时候跟卓翰还有
[00:45:18] Uzuk
[00:45:20] 是聊的比较多的
[00:45:20] 就是你们是
[00:45:22] 就是为什么你觉得这个项目这么吸引你
[00:45:24] 首先就是这个项目发展的很快
[00:45:27] 然后呢
[00:45:28] 这个项目也确实当时缺人
[00:45:30] 然后我当时有一个判断
[00:45:34] 就是这个
[00:45:35] 就是当时因为
[00:45:36] Chad GPC已经很火了嘛
[00:45:38] 然后我当时一个判断就是
[00:45:40] 大家其实当时都在
[00:45:41] 都在探究怎么训练模型
[00:45:43] 但是很显然就是
[00:45:45] 你把模型训出来之后
[00:45:46] 你需要去做推理
[00:45:47] 那么VOM就是处在这样一个地位
[00:45:50] 就是做大模型的推理的
[00:45:52] 所以我觉得它未来非常的有前途
[00:45:54] 然后这个推理也是一个非常重要的事情
[00:45:57] 所以值得投入
[00:45:59] 这个是2024年
[00:46:02] 对
[00:46:03] 就是我做VOM是2024年的事情了
[00:46:07] 但是我关注到VOM是2023年的事情
[00:46:11] 对
[00:46:12] 2023年这个年底
[00:46:14] 就是我当时向Young Stoica老师申请交换的时候
[00:46:17] 我其实当时已经在里面跟他说了
[00:46:19] 就是我去做VOM是2024年的事情了
[00:46:20] 如果我需要propose一些这个idea嘛
[00:46:23] 就是我去做什么
[00:46:24] 那当时我这个提出的就有这个大模型推理这一块
[00:46:28] 然后这个时候VOM已经有了
[00:46:31] 它已经存在了
[00:46:32] 对它已经存在了
[00:46:33] 所以我说我可以在VOM里面做一些事情
[00:46:35] 我们来讲讲这个VOM的核心原理吧
[00:46:37] 假设就是我们对这个系统了解不多
[00:46:39] 能不能跟我们讲讲
[00:46:41] 为什么在那个时候VOM应运而生了
[00:46:43] 然后当时处于一个什么样的市场环境之下
[00:46:46] 对我觉得这里面可能需要区分两个概念
[00:46:49] 就是VOM是一个很重要的概念
[00:46:50] 就是VOM和它对应的论文
[00:46:51] Paged Attention那篇论文
[00:46:53] 就是VOM的起源是那篇论文嘛
[00:46:56] 然后那篇论文的核心是一个
[00:46:58] 这个Paged Attention算法
[00:46:59] 那么它是借鉴了操作系统的
[00:47:01] 这个虚拟内存管理的机制
[00:47:03] 来管理这个自回归生成过程中的
[00:47:06] 大模型推理的过程中
[00:47:07] 这个产生的中间状态
[00:47:08] 也叫KV Cache
[00:47:09] 那其实时至今日就是
[00:47:12] VOM它早就不是Paged Attention算法了
[00:47:15] 它是一整个大模型推理的系统
[00:47:18] 它是这个大模型高效运行的一个底层
[00:47:20] 所以VOM它解决的问题
[00:47:23] 其实是这个在模型和硬件都飞速发展
[00:47:27] 然后互相偶合的时候
[00:47:28] 你如何去提供一个高效的推理服务
[00:47:31] 而Paged Attention本身呢
[00:47:33] 它的原理就是说
[00:47:34] 如何去管理自回归生成过程中的
[00:47:37] 这个中间状态
[00:47:38] 也就是KV Cache
[00:47:39] 在当时
[00:47:40] 就是放在当时那个环境下
[00:47:41] Paged Attention是有一个很大的创新吗
[00:47:45] 我觉得不能算一个很大的创新
[00:47:48] 就是任何一个
[00:47:50] 就是认真的分析大模型推理过程的
[00:47:52] 这个机器学习的研究者
[00:47:54] 都能够想到这个想法
[00:47:56] 所以从学术创新的角度来说
[00:47:58] Paged Attention算法的创新性
[00:48:00] 甚至是偏低的
[00:48:01] 所以它当时投稿
[00:48:03] 这个是投稿到SOSP的2023这个会议上
[00:48:06] 也是一个非常顶级的系统会议
[00:48:08] 但其实审稿人就已经提出了很多批评说
[00:48:11] 你这东西too simple
[00:48:13] 就是你这个想法太直接了
[00:48:14] 然后没有什么noity
[00:48:16] 它最后能发表
[00:48:17] 完全是因为他们做得很早
[00:48:19] 而且
[00:48:20] 做了非常丰富的实验
[00:48:21] 所以最后才是一个
[00:48:23] 以低分的过线的状态
[00:48:25] 被会议接受了
[00:48:26] 然后VLM它是Paged Attention这篇论文
[00:48:29] 被接收之后
[00:48:31] 作者团队开源出来的这个推理引擎
[00:48:33] 所以这也是为什么你说
[00:48:35] 我们认知VLM的时候
[00:48:37] 不能够只认识到它是Paged Attention
[00:48:40] 它应该是它后续做了一系列的事情
[00:48:42] 对 VLM是一个推理引擎
[00:48:45] 它代表着一个推理的生态系统
[00:48:47] Paged Attention以及Continuous Batching
[00:48:50] 这两个技术是大模型推理过程中的
[00:48:53] 核心的技术
[00:48:54] 当然也涉及到很多其他
[00:48:56] 后来的推理优化的技术
[00:48:58] 它们都是在VLM这个项目里面的
[00:49:01] 所以当Paged Attention这篇论文被接收之后
[00:49:04] 李卓翰他们紧急着做了什么样的事情呢
[00:49:06] 这个里面谁是起到比较关键的作用
[00:49:08] 论文接收之后
[00:49:10] 因为系统的论文
[00:49:12] 他们都有很多要求artifact evaluation
[00:49:15] 就是说你的系统需要被别人复现过
[00:49:18] 然后你的这些数字
[00:49:20] 都需要被别人复现过
[00:49:20] 你确实有这些收益
[00:49:22] 所以他们本来就有一个原型系统
[00:49:26] 然后他们后来
[00:49:27] 把这个原型系统开源了
[00:49:29] 我觉得这个也是跟
[00:49:30] Young Stoica老师的理念有关系
[00:49:32] 因为Young Stoica老师
[00:49:33] 他是这篇论文的一个指导老师
[00:49:35] 然后他也很早的看到
[00:49:38] 开源推理引擎里面
[00:49:40] 蕴藏着一个巨大的机会
[00:49:41] 所以他就推动这篇论文的
[00:49:44] 学生团队
[00:49:45] 把VLM当作一个很重要的开源项目在维护
[00:49:49] 然后
[00:49:50] 不是所有人都同意Young Stoica老师的观点
[00:49:53] 以及受限于刚才说的
[00:49:55] 各种的每个人当时的
[00:49:56] 一些客观的选择和情况
[00:49:59] 所以最后主要是
[00:50:01] 这个Wusuk和Johan两个人
[00:50:02] 在继续维护这个开源项目
[00:50:04] 然后慢慢的有了Simon有了你
[00:50:07] 对
[00:50:07] 收服你的过程难吗
[00:50:09] 应该很容易
[00:50:11] 对因为我是主动过去的
[00:50:13] 你是主动要去的
[00:50:14] 对
[00:50:14] Simon呢
[00:50:15] Simon应该也是主动的
[00:50:17] 因为我觉得一个开源项目
[00:50:19] 好像他跟一个
[00:50:20] 公司这种组织还是非常不一样的
[00:50:22] 因为公司人来人往应该就是
[00:50:24] 非常的常态化
[00:50:25] 但是一个开源项目的人来人往
[00:50:27] 就有的人加入有的人离开
[00:50:30] 你们就是会有一些特别的
[00:50:32] 就是情感嘛
[00:50:34] 事后来看你觉得这种
[00:50:36] 有开源精神有开源热情的
[00:50:38] 这些人是不是有一些
[00:50:40] 共同的特征就是什么让你们
[00:50:42] 走到一起又是什么让一些人离开
[00:50:44] 对我觉得就是
[00:50:46] 每个人追求的目标不一样吧
[00:50:48] 就是比如说有的人
[00:50:50] 他追求金钱
[00:50:51] 就是你今年赚到多少钱
[00:50:53] 对吧
[00:50:53] 然后有的人追求权利
[00:50:55] 你在公司里面爬得多高
[00:50:56] 是一个多高的领导的地位
[00:50:58] 那我觉得我追求的就是
[00:51:01] 意义
[00:51:02] 就是我做的事情是不是有意义
[00:51:04] 然后我当时觉得
[00:51:06] 有很重要的历史意义
[00:51:08] 值得我的投入
[00:51:09] 然后这部分决策也是受到
[00:51:12] Michael Jordan老师和Young Stoica老师的
[00:51:14] 比较大的影响
[00:51:16] 然后其他同学
[00:51:18] 我觉得也是类似吧
[00:51:20] 就是
[00:51:20] 加入的同学很多都是因为这个原因
[00:51:24] 加入的当然离开的时候
[00:51:26] 可能有些人也有一些自己的原因
[00:51:28] 这个也不能强求
[00:51:29] 那我觉得整体上来说
[00:51:32] 就是有句话叫做
[00:51:34] 苍岭时而知礼节
[00:51:35] 衣食足而知荣辱
[00:51:37] 那我觉得也是因为我们这个时代
[00:51:39] 物质追求这方面已经给我们
[00:51:42] 已经有一个基本的生活保障了
[00:51:44] 那么让我们能够有更多的
[00:51:46] 时间和精力去追求一些
[00:51:48] 非物质的精神需求
[00:51:50] 而且就是
[00:51:51] 做计算机方向的技术同学
[00:51:53] 其实他的基本的生活需求非常简单
[00:51:56] 对吧
[00:51:56] 就是有吃有住
[00:51:58] 然后有电脑能上网就可以了
[00:52:00] 所以就是
[00:52:01] 我觉得这样艰难的环境
[00:52:03] 为我们筛选出了一批志同道合的人
[00:52:06] 他们热爱开源
[00:52:08] 然后热爱技术
[00:52:09] 然后跟我们一起同甘共苦
[00:52:12] 就是做VM项目
[00:52:13] 做了好几年
[00:52:14] 所以后来他们也就很自然的
[00:52:17] 变成了我们公司的初始创业的团队
[00:52:20] 我觉得比较感慨
[00:52:21] 就是中学课本里面
[00:52:24] 宋东阳马成旭里面
[00:52:25] 叫做
[00:52:26] 我觉得我们这些同学
[00:52:30] 就是非常适合这一句话
[00:52:33] 因为我们心中坐着
[00:52:35] 就是坐着我们认为我们快乐的事情
[00:52:38] 所以我们就不觉得
[00:52:39] 吃的喝的穿的享受不如他们
[00:52:42] 当然现在我们有了资源
[00:52:44] 我们也会让我们的同学
[00:52:46] 在实现精神追求的同时
[00:52:48] 有更充足的物质资源
[00:52:50] 所以我们也会让我们的同学
[00:52:50] 这样子让自己的生活没有后顾之忧
[00:52:52] 24年25年在你加入之后
[00:52:54] 有没有发生一些让你印象很深刻的事情
[00:52:57] 这也是在你们公司成立之前
[00:52:58] VM的两年
[00:53:00] 对24年
[00:53:02] 我觉得主旋律
[00:53:04] 其实就是一个重构
[00:53:05] 因为23年的
[00:53:07] 论文发布
[00:53:09] 然后再是23年的一个prototype出来
[00:53:12] 然后这个prototype需要从
[00:53:14] 实验的原型走向一个生产级的可用
[00:53:17] 那在这个过程中
[00:53:18] 我们调研了很多像业内
[00:53:20] 它的推理引擎的设计
[00:53:21] 然后最终在年底的时候
[00:53:23] 推出了从V0到V1的一个重构的计划
[00:53:26] 然后25年的主旋律
[00:53:29] 就是一个大规模部署
[00:53:31] 就是硬件和模型都变得越来越大
[00:53:34] 然后开源模型的发展的重心
[00:53:37] 从欧美转移到了中国
[00:53:39] 然后这里面比较巧的一个事情
[00:53:41] 也是25年
[00:53:42] 因为24年我交换结束了
[00:53:45] 然后25年回来准备毕业
[00:53:46] 然后当时VM社区
[00:53:49] 在国内的设计部门
[00:53:50] 还是一片空白的状态
[00:53:52] 然后我刚好从伯克利回来
[00:53:54] 我就把这个从零开始搭建了
[00:53:57] 中国的VM社区
[00:53:58] 然后也刚好支持了大量的
[00:54:02] 中国开源模型的发布
[00:54:03] 那个时候刚好是
[00:54:05] 中国开源模型爆发的一年
[00:54:07] 25年
[00:54:07] 对 就是25年年初的时候
[00:54:10] 这个DeepSig R1
[00:54:11] 其实DeepSig V3是在24年的年底发布的
[00:54:15] 对 然后25年年初的时候R1
[00:54:18] 然后再是25年春节的时候
[00:54:20] R1开始爆火
[00:54:21] 所以到后面也就是
[00:54:23] 这个中国的开源模型
[00:54:25] 就像雨后春笋一样
[00:54:26] 这个不断地发布出来
[00:54:28] 我觉得就是这两年确实是
[00:54:30] 很多风风雨雨吧
[00:54:31] 然后尤其是像刚才说到的人员的
[00:54:34] 不断地变动
[00:54:35] 因为我们是做一个开源项目嘛
[00:54:36] 所以人来人往的
[00:54:38] 就是有人参加
[00:54:40] 然后又有人这个走
[00:54:42] 然后我们在这个过程中
[00:54:44] 还要持续不断地去面对
[00:54:46] 这个新模型发布的情况
[00:54:47] 然后呢还要在这个过程中去
[00:54:49] 推动这个新模型发布的情况
[00:54:50] 整个项目的维护和升级
[00:54:52] 这个整体是一个非常大的挑战
[00:54:54] 所以我回顾历史的话
[00:54:56] 就是往回看
[00:54:57] 我觉得我不敢说我们做得非常好
[00:55:00] 只能说我们撑过来了
[00:55:02] 我对25年非常好奇
[00:55:03] 但是我们先讲一下24年
[00:55:05] 你们那次从V0到V1的
[00:55:07] 那个重担的重构
[00:55:08] 因为用户侧可能感觉变化不大
[00:55:10] 能不能从工程角度讲一下
[00:55:12] 你们为什么决定做这个事情
[00:55:14] 以及重构过程中
[00:55:15] 它有哪些挑战
[00:55:16] 这一次重构呢
[00:55:17] 其实主要就是为了解决
[00:55:19] 这个模型和硬件
[00:55:20] 的发展对于推理引擎
[00:55:21] 提出了一些新的挑战
[00:55:23] 那打个比方呢
[00:55:24] 就是比如说我们现在经常
[00:55:26] 喜欢把token比作是电
[00:55:28] 那这个过程中的推理引擎
[00:55:31] 就像是发电机
[00:55:34] 或者说是电力系统
[00:55:37] 然后呢这个
[00:55:38] 我觉得模型可能更像
[00:55:40] 这个发电机吧
[00:55:41] 我们后面可能可以做一些类比
[00:55:42] 然后呢这个硬件
[00:55:45] 它就像是你的像风力
[00:55:47] 然后光伏
[00:55:48] 这些自然资源
[00:55:50] 然后这个推理系统要做的事情
[00:55:53] 就是你需要把这些自然资源
[00:55:56] 用发电机把它转化成电
[00:55:59] 然后呢再传递到每一个人的这个手中
[00:56:02] 那所以呢
[00:56:03] 本次重构就好比说
[00:56:04] 我这个发电系统
[00:56:05] 整体上从这个火电过渡到
[00:56:08] 新能源发电的一个状态
[00:56:10] 那么从用户侧的角度来看呢
[00:56:12] 它的使用方式可能差别不大
[00:56:14] 你可能都是电是吧
[00:56:16] 你把这个插头插上去就能用
[00:56:17] 但是呢
[00:56:18] 从推理引擎的视角来看
[00:56:20] 其实背后的这个工作原理
[00:56:21] 发生了巨大的变化
[00:56:23] 那所以从终端用户的视角来看呢
[00:56:26] 其实推理引擎承担了一个非常大的责任
[00:56:29] 就是它屏蔽了这个模型和硬件的复杂性
[00:56:33] 那用户选择不同模型的时候
[00:56:35] 就比如说你在应用里面
[00:56:38] 然后这个一个应用
[00:56:39] 它可能支持多个模型
[00:56:40] 那从用户的角度来说
[00:56:41] 你可能只是从一个这个下拉菜单里面
[00:56:44] 点了一个模型
[00:56:45] 或者呢
[00:56:46] 你只是从这个请求的参数里面
[00:56:47] 改了一个参数说
[00:56:48] 我请求的
[00:56:49] 今天是deep seek
[00:56:50] 明天是签问
[00:56:51] 但其实从背后的这个推理引擎来看
[00:56:54] 不同的这个模型
[00:56:56] 它的支持效率
[00:56:57] 它适配的硬件
[00:56:58] 其实是千差万别的
[00:57:00] 所以这里面推理引擎承担了非常重要的任务
[00:57:02] 然后呢
[00:57:03] 在这个过程中
[00:57:04] 模型和硬件又在不断的发展
[00:57:06] 所以他们对推理引擎的要求
[00:57:09] 其实是在不断更新的
[00:57:10] 那么V0和V1只是一个
[00:57:13] 我们从名字上就能够看得出来的
[00:57:15] 它是一个非常大的变化
[00:57:16] 但其实类似的这样的小变化
[00:57:19] 我们其实
[00:57:19] 一直在做
[00:57:20] 所以你可以说
[00:57:21] 就是V1它其实一直是在重构的过程中
[00:57:24] 然后这里面
[00:57:26] 就是最困难的
[00:57:27] 就是你需要保持一些用户的兼容性
[00:57:29] 对吧
[00:57:30] 就是你背后支持的模型
[00:57:31] 支持的硬件不停的在变
[00:57:33] 但是你要给前端的
[00:57:34] 这个中端的用户
[00:57:35] 一个比较统一的体验
[00:57:37] 就是我用V1
[00:57:39] 我就可以保证说
[00:57:40] 我在各种硬件上
[00:57:41] 可以跑得起来
[00:57:41] 各种模型
[00:57:42] 24年的时候
[00:57:43] 你们是不是主要支持的
[00:57:45] 还是美国的一些模型
[00:57:46] 比如说Meta
[00:57:47] 对
[00:57:48] 24年的这个
[00:57:49] 开源的重心
[00:57:50] 还在美国那边
[00:57:52] 欧美
[00:57:53] 然后像Meta
[00:57:54] 像这个Mistral
[00:57:56] 这些的
[00:57:56] 在他们的过程中
[00:57:58] 有没有什么一些观察
[00:57:59] 当时其实支持的
[00:58:01] 还不算很复杂
[00:58:03] 因为当时
[00:58:05] 就是这个模型和硬件
[00:58:07] 它还没有很偶合
[00:58:10] 然后只有一些
[00:58:11] 比如说一些Attention算法
[00:58:13] 设计的比较复杂的时候
[00:58:14] 对推理引擎的影响比较大
[00:58:16] 但总体上来说
[00:58:17] 还是在做
[00:58:19] 各种推理优化
[00:58:20] 就是模型的结构
[00:58:21] 在那一年
[00:58:22] 没有发生巨大的变化
[00:58:23] 到了25年
[00:58:24] 是不是中国开源模型的爆发
[00:58:27] 在所有人的意料之外
[00:58:28] 也在你们的意料之外
[00:58:29] 对
[00:58:31] 是在我们意料之外的
[00:58:32] 你是几月份回中国的
[00:58:34] 我就是
[00:58:35] 24年的12月份
[00:58:37] 结束交流
[00:58:38] 然后
[00:58:38] 那刚刚好碰上
[00:58:39] 对
[00:58:40] 就是我结束交流的时候
[00:58:42] 就是DeepSea的V3
[00:58:44] 发布的时候
[00:58:45] 对
[00:58:46] 然后回来1月份
[00:58:47] 然后马上R1又发布了
[00:58:49] 所以
[00:58:50] 是在我们意料之外的
[00:58:52] 当时去支持DeepSea
[00:58:53] 是不是非常的措手不及
[00:58:55] 是一个什么样的状态
[00:58:56] 我觉得不能说措手不及
[00:58:58] 更多是说我们没有预料到
[00:59:00] 它是一个这么大影响力的事情
[00:59:02] 因为DeepSea跟我们的合作
[00:59:04] 其实很早就开始了
[00:59:05] 就是你从
[00:59:06] 23年24年那段时间
[00:59:08] 因为DeepSea
[00:59:09] 它内部用的就是VM
[00:59:10] 以及它
[00:59:11] 就后续加了一些
[00:59:12] 它自己优化的一个变种
[00:59:14] 所以它其实从DeepSea MOE
[00:59:16] DeepSea MOE
[00:59:18] DeepSea MOE
[00:59:19] 我觉得算是
[00:59:19] V1吧
[00:59:20] 然后它后面有V2
[00:59:21] 然后再发展到V3
[00:59:22] 它跟我们一直是有联系的
[00:59:24] 有合作的
[00:59:25] 然后呢
[00:59:26] 只是在24年的时候
[00:59:28] DeepSea还属于社区里面的一员
[00:59:32] 就是它只是一个
[00:59:33] 敏然众人的一个模型厂商
[00:59:36] 然后你们支持他们的故事
[00:59:37] 就是在R1之后
[00:59:39] 有什么值得分享的吗
[00:59:40] 这个还是给我们带来
[00:59:42] 比较大的震撼的
[00:59:43] 就是DeepSea的这个
[00:59:45] Infra同学做了很多的优化
[00:59:47] 然后我们需要
[00:59:49] 学习
[00:59:50] 就是他们在推力引擎方面
[00:59:51] 虽然是基于为我们做的
[00:59:53] 但是比我们做的
[00:59:54] 往前面走了很多
[00:59:55] 所以我们当时是在不断的
[00:59:57] 跟他们学习的过程中
[00:59:58] 然后紧接着又支持了很多
[01:00:00] 中国的开源模型
[01:00:01] 在25年对吧
[01:00:02] 对对
[01:00:03] 就是DeepSea爆火之后
[01:00:04] 然后中国的这个
[01:00:05] 开始了一个开源的浪潮吧
[01:00:08] 尤其是这个25年的7月份
[01:00:12] 我印象很深刻
[01:00:13] 因为我事后回想起来
[01:00:15] 感觉应该是当时这个
[01:00:17] WAIC快开会了
[01:00:18] 然后
[01:00:19] 很多公司都是
[01:00:20] 在这之前就想发布产品
[01:00:22] 就是把自己有的模型都发出来了
[01:00:24] 今年又处于现在这个时间点了
[01:00:26] 对
[01:00:27] 然后我们其实一直在支持
[01:00:28] 很多的新模型的发布
[01:00:30] 今年也会吗
[01:00:32] 一直在
[01:00:33] 然后已经有了
[01:00:34] 像今年的DeepSea V4
[01:00:35] MiniMax M3
[01:00:36] 都是比较大的发布
[01:00:37] 大家都赶着WAIC之前发一波
[01:00:40] 我不知道今年大家会不会
[01:00:42] 再赶着WAIC再发一波
[01:00:44] 但反正今年已经有好几个
[01:00:46] 比较就是比较大
[01:00:48] 比较复杂的发布了
[01:00:49] 所以你刚才说25年
[01:00:50] 你整一年就是回中国组建了VLM的社区
[01:00:55] 这是很简单的一句话
[01:00:57] 但是这背后是什么样的工作量
[01:00:59] 能不能讲讲这个过程
[01:01:00] 就是这个社区是怎么搭建起来了
[01:01:02] 我们也很好奇
[01:01:03] 这个开源社区的诞生
[01:01:04] 它是怎么就是一步一步做出来的
[01:01:06] 这个社区的搭建
[01:01:08] 就是因为这个项目本身诞生在美国
[01:01:12] 然后24年的主要的这个开源的阵地
[01:01:16] 也是在美国
[01:01:17] 所以整体的这个沟通曲线
[01:01:19] 整体的这个沟通曲线
[01:01:19] 也是在偏美国的
[01:01:21] 比如说我们是用Slack进行沟通
[01:01:23] 然后呢我们后来
[01:01:24] 就是在国内跟大家沟通的时候就发现
[01:01:27] 这是我们当时跟大家说的
[01:01:29] 就是VLM社区是一个很包容的社区
[01:01:32] 那中国美国的同学都可以一起沟通
[01:01:34] 那我们有Slack的这个沟通机制
[01:01:37] 那大家都可以进来
[01:01:38] 那里面就遇到了两点问题
[01:01:40] 第一点就是国内的同学
[01:01:42] 他肯定更习惯说中文
[01:01:44] 那么在Slack里面
[01:01:45] 大家主要还是说英文
[01:01:47] 那么这是一点语言障碍
[01:01:48] 然后呢
[01:01:49] 第二点就是
[01:01:50] 因为各种各样的原因
[01:01:52] 那么国内的同学
[01:01:54] 用国外的软件的时候
[01:01:55] 还是有一些不方便的因素存在的
[01:01:57] 那所以呢
[01:01:58] 为了解决这些问题
[01:02:00] 我们就开始搭建一些这个VLM的中文社区
[01:02:03] 那比如说
[01:02:05] 一些这个公众号啊
[01:02:07] 小红书啊
[01:02:08] 这个知乎啊
[01:02:09] 这些宣传平台
[01:02:10] 然后呢
[01:02:11] 包括这个跟国内的一些大公司
[01:02:14] 建立一些沟通和联系的渠道
[01:02:16] 因为像DeepSeek和Kimi
[01:02:18] 他们都是
[01:02:19] 公开的说过
[01:02:20] 他们就是用VLM的
[01:02:22] 那么之前呢
[01:02:23] 我们跟他们的沟通是非常少的
[01:02:25] 因为这个时区也不一样
[01:02:27] 然后呢
[01:02:27] 人也没有办法见面
[01:02:29] 然后呢
[01:02:29] 我回国之后呢
[01:02:31] 我就是
[01:02:31] 也走访了一遍这些公司
[01:02:34] 然后跟他们了解
[01:02:35] 就是他们用VLM在做什么
[01:02:37] 然后遇到了什么样的问题
[01:02:39] 有什么样的痛点
[01:02:40] 对
[01:02:40] 因为我在这个24年的时候
[01:02:43] 做VLM比较多
[01:02:44] 然后大家也都比较认识我
[01:02:46] 所以就是
[01:02:47] 我就这样把大家串起来
[01:02:49] 25年还有一件事
[01:02:50] 就是PyTorch的基金会
[01:02:52] 完成了机构改革
[01:02:53] 然后你们也变成了
[01:02:55] 这个基金会里面
[01:02:56] 一个非常旗舰的一个项目
[01:02:57] 这个变化是怎么发生
[01:02:58] 已经对你们有什么影响
[01:02:59] 我们24年的年底
[01:03:01] 就在讨论这个事情
[01:03:03] 就是当时的背景
[01:03:05] 就是其实
[01:03:06] 这个项目的长期维护
[01:03:09] 就是我们在考虑
[01:03:10] 这个项目的长期维护
[01:03:11] 然后呢
[01:03:13] Young Stoical老师说
[01:03:14] 我们应该有一个公司
[01:03:16] 来支持这个项目
[01:03:17] 不然这个项目
[01:03:18] 最后会凉掉
[01:03:19] 然后呢
[01:03:20] 但是我们几个人
[01:03:21] 就是有一些同学
[01:03:23] 还比较犹豫
[01:03:24] 然后呢
[01:03:24] 这个项目能不能找到
[01:03:26] 一个长期的维护者
[01:03:27] 都是一个问题
[01:03:27] 那所以呢
[01:03:28] Young Stoical老师就说
[01:03:30] 那我们就参照
[01:03:31] 这个像Linux之类的
[01:03:33] 项目的经验
[01:03:33] 把它捐给一个基金会
[01:03:35] 那么这样子能够保证
[01:03:37] 它的长期的开源和维护
[01:03:39] 所以就把它捐给了
[01:03:41] 这个PyTorch基金会
[01:03:42] 因为我们跟PyTorch的合作
[01:03:44] 也比较紧密
[01:03:45] 就是我们相当于是
[01:03:47] PyTorch是一个
[01:03:49] 底层的机器学习框架
[01:03:51] 然后呢
[01:03:51] 我们是建立在之上的
[01:03:53] 一个这个推理引擎
